date,time,event,value,category1,category2,measure1,measure2
Nov-09-2020,14:54:59,Idle,56.19,B,Green,39.77,18.99
Nov-10-2020,02:00:51,Alert,62.85,D,Black,67.29,62.1
Nov-12-2020,21:18:45,Start,52.88,D,Blue,42.73,1.62
Nov-13-2020,16:21:13,Run,39.31,A,Green,52.15,65.99
Nov-14-2020,16:56:58,Stop,74.95,A,Red,33.87,7.42
Nov-15-2020,13:43:15,Stop,16.72,C,Green,55.05,34.05
Nov-16-2020,00:12:37,Stop,92.3,A,Black,43.13,26.21
Nov-17-2020,16:11:54,Run,11.86,D,Red,65.7,24.15
Nov-18-2020,18:37:38,Run,96.61,C,Green,61.6,58.85
Nov-19-2020,00:32:28,Stop,51.61,A,Black,42.56,3.21
Nov-20-2020,04:05:30,Run,47.14,B,Blue,48.1,12.79
Nov-21-2020,15:30:24,Start,33.08,E,Black,41.73,23.18
Nov-22-2020,15:45:32,Start,10.91,A,Blue,28.71,50.03
Nov-23-2020,12:51:09,Idle,34.73,A,Red,37.14,7.32
Nov-24-2020,23:09:40,Alert,19.85,B,Black,52.97,48.73
Nov-25-2020,12:02:58,Start,69.38,D,Yellow,54.88,15.31
Nov-27-2020,17:51:33,Idle,38.72,B,Yellow,52.23,6.28
Nov-28-2020,16:27:18,Measure,79.05,A,Yellow,45.47,42.69
Nov-29-2020,22:44:31,Alert,28.62,D,Yellow,64.0,2.86
Nov-30-2020,12:32:33,Start,91.02,C,Yellow,50.95,21.69
Dec-01-2020,00:55:04,Measure,57.07,A,Blue,60.55,1.98
Dec-02-2020,23:02:59,Idle,20.31,B,Black,23.39,13.22
Dec-04-2020,06:23:21,Start,46.08,C,Red,-8.84,27.57
Dec-05-2020,12:22:29,Start,28.61,E,Yellow,54.26,24.37
Dec-06-2020,17:31:55,Run,27.97,C,Yellow,28.63,15.56
Dec-07-2020,20:06:32,Measure,55.57,B,Red,46.81,16.81
Dec-08-2020,04:48:27,Start,70.47,C,Red,45.47,7.72
Dec-10-2020,07:14:51,Stop,92.05,B,Yellow,73.81,18.26
Dec-11-2020,03:33:04,Run,55.19,A,Blue,56.0,91.89
Dec-12-2020,00:56:04,Run,96.93,D,Red,52.49,57.0
Dec-13-2020,05:33:57,Start,94.75,E,Black,62.55,4.71
Dec-14-2020,00:03:38,Run,87.86,D,Black,55.53,0.91
Dec-15-2020,21:25:32,Alert,55.0,D,Blue,43.13,81.33
Dec-16-2020,00:07:19,Measure,22.68,D,Green,66.07,22.44
Dec-17-2020,15:20:44,Alert,29.61,B,Blue,33.35,23.16
Dec-18-2020,22:55:25,Idle,68.29,B,Yellow,54.85,45.52
Dec-19-2020,22:17:30,Alert,47.96,E,Green,26.79,11.34
Dec-20-2020,19:41:11,Stop,23.21,B,Yellow,53.06,19.73
Dec-21-2020,00:41:08,Run,53.11,B,Black,52.89,103.89
Dec-22-2020,02:59:50,Run,11.57,B,Red,75.15,33.46
Dec-23-2020,08:41:50,Stop,76.05,B,Yellow,26.53,5.01
Dec-24-2020,15:23:49,Run,16.62,A,Black,40.99,4.29
Dec-25-2020,13:02:33,Alert,66.62,E,Blue,62.34,6.85
Dec-26-2020,00:49:23,Idle,81.37,B,Yellow,55.03,43.66
Dec-27-2020,08:12:01,Start,21.94,E,Black,52.7,10.5
Dec-28-2020,06:47:20,Stop,56.68,C,Red,35.66,0.65
Dec-29-2020,18:24:46,Alert,80.12,A,Yellow,41.14,86.57
Dec-30-2020,21:10:32,Alert,33.46,B,Black,68.68,5.58
Dec-31-2020,20:38:19,Alert,24.66,A,Yellow,49.23,0.29
Jan-01-2021,07:41:36,Start,40.31,A,Red,55.63,8.12
Jan-02-2021,08:24:24,Measure,59.92,C,Yellow,48.27,8.04
Jan-03-2021,00:01:18,Run,61.78,E,Yellow,32.25,16.45
Jan-04-2021,13:19:41,Run,21.78,A,Black,64.01,75.92
Jan-05-2021,08:41:28,Idle,51.18,D,Green,57.55,63.4
Jan-06-2021,05:16:59,Measure,34.15,C,Yellow,84.58,18.31
Jan-07-2021,05:03:29,Run,85.78,D,Green,34.77,15.87
Jan-08-2021,19:02:22,Idle,38.22,C,Blue,62.34,24.29
Jan-09-2021,18:17:25,Idle,85.48,D,Yellow,30.33,8.37
Jan-10-2021,23:35:07,Alert,48.57,D,Green,52.36,1.61
Jan-11-2021,16:30:36,Stop,75.39,A,Blue,64.65,84.02
Jan-12-2021,12:56:32,Alert,55.91,A,Black,18.92,6.2
Jan-15-2021,12:03:21,Start,65.98,C,Yellow,46.93,6.63
Jan-16-2021,23:45:34,Run,45.58,E,Black,41.55,19.19
Jan-17-2021,04:31:06,Idle,79.14,A,Blue,39.47,20.3
Jan-18-2021,00:30:54,Stop,48.27,A,Black,55.78,0.56
Jan-19-2021,11:10:23,Run,51.17,B,Black,66.81,4.8
Jan-21-2021,07:31:56,Idle,56.59,A,Red,48.0,14.25
Jan-23-2021,05:59:21,Idle,84.86,E,Blue,53.08,34.53
Jan-24-2021,01:18:51,Alert,69.34,B,Black,51.71,7.78
Jan-25-2021,19:55:13,Stop,41.42,D,Green,50.03,16.5
Jan-27-2021,00:09:15,Stop,70.33,D,Blue,33.66,24.45
Jan-28-2021,03:26:27,Run,67.82,B,Red,66.63,65.84
Jan-29-2021,10:15:58,Idle,93.79,B,Yellow,54.43,11.84
Jan-30-2021,19:32:47,Stop,85.73,B,Black,55.92,4.3
Jan-31-2021,18:20:21,Stop,68.27,C,Green,37.9,20.16
Feb-01-2021,08:08:08,Run,40.74,E,Red,43.11,41.2
Feb-02-2021,16:43:56,Alert,80.16,E,Blue,47.36,3.49
Feb-03-2021,12:07:15,Measure,61.77,D,Black,26.99,16.59
Feb-04-2021,17:58:32,Start,98.67,D,Red,24.68,0.54
Feb-06-2021,00:11:05,Measure,32.28,D,Red,40.99,1.02
Feb-07-2021,08:54:04,Stop,17.17,A,Green,57.84,19.79
Feb-08-2021,15:17:48,Idle,16.29,D,Yellow,40.2,10.62
Feb-09-2021,17:00:18,Start,67.6,B,Yellow,34.72,55.95
Feb-10-2021,21:07:02,Start,94.53,D,Yellow,37.78,27.65
Feb-11-2021,04:54:39,Idle,10.17,B,Blue,43.17,18.15
Feb-12-2021,18:17:49,Start,75.32,C,Red,44.69,15.72
Feb-13-2021,20:30:32,Idle,69.14,A,Blue,82.48,20.63
Feb-14-2021,14:17:56,Start,75.91,A,Red,65.82,1.24
Feb-15-2021,06:15:15,Run,41.99,E,Green,65.37,66.99
Feb-16-2021,14:37:40,Run,83.84,C,Green,67.53,191.37
Feb-17-2021,06:13:42,Measure,14.02,B,Blue,35.02,6.01
Feb-18-2021,20:47:24,Start,77.99,C,Blue,31.66,3.85
Feb-19-2021,05:21:58,Alert,34.04,A,Green,33.4,4.65
Feb-20-2021,15:51:28,Idle,52.92,B,Black,70.02,32.46
Feb-21-2021,15:11:16,Start,84.04,C,Yellow,41.79,32.49
Feb-23-2021,04:26:24,Run,34.42,A,Yellow,31.23,56.5
Feb-24-2021,12:07:55,Run,26.67,B,Green,43.54,41.81
Feb-25-2021,04:11:40,Idle,71.32,B,Yellow,46.42,17.92
Feb-26-2021,02:34:32,Alert,58.01,A,Black,54.03,28.47
Feb-27-2021,21:49:55,Start,56.3,B,Black,53.76,34.97
Feb-28-2021,11:08:40,Start,33.11,A,Red,37.58,21.57
Mar-01-2021,17:49:28,Alert,13.14,D,Blue,60.28,19.37
Mar-02-2021,06:26:35,Alert,46.92,D,Yellow,40.41,31.08
Mar-03-2021,12:16:55,Alert,19.59,B,Black,47.66,24.46
