date,time,event,value
Sep-02-2020,20:42:47,Run,97.47
Sep-03-2020,18:26:36,Run,86.52
Sep-04-2020,13:48:34,Alert,73.57
Sep-05-2020,03:15:15,Run,36.14
Sep-06-2020,20:25:56,Measure,24.87
Sep-07-2020,03:18:57,Run,92.93
Sep-08-2020,16:44:25,Idle,48.08
Sep-10-2020,21:54:57,Measure,35.09
Sep-11-2020,23:27:00,Alert,52.38
Sep-12-2020,11:35:42,Idle,92.61
Sep-13-2020,04:01:16,Idle,44.84
Sep-14-2020,07:37:20,Stop,60.64
Sep-15-2020,08:12:10,Measure,82.27
Sep-16-2020,15:15:58,Idle,48.44
Sep-17-2020,01:41:43,Alert,31.02
Sep-18-2020,07:42:41,Stop,99.51
Sep-19-2020,12:56:16,Idle,96.09
Sep-20-2020,06:23:02,Measure,85.91
Sep-21-2020,19:12:18,Stop,71.95
Sep-22-2020,06:08:18,Measure,36.54
Sep-23-2020,12:53:39,Measure,92.21
Sep-24-2020,21:17:22,Measure,34.8
Sep-25-2020,01:49:49,Stop,82.07
Sep-27-2020,10:30:32,Idle,92.64
Sep-28-2020,13:15:10,Run,64.27
Sep-29-2020,00:06:30,Start,82.28
Sep-30-2020,15:45:46,Idle,81.25
Oct-01-2020,13:27:52,Stop,27.38
Oct-02-2020,10:15:18,Start,70.11
Oct-04-2020,16:58:25,Start,18.41
Oct-05-2020,05:42:48,Start,55.71
Oct-06-2020,08:49:16,Run,24.6
Oct-07-2020,11:22:53,Alert,47.47
Oct-08-2020,21:04:42,Stop,84.97
Oct-09-2020,03:58:35,Run,98.85
Oct-10-2020,02:57:23,Run,38.62
Oct-11-2020,22:56:16,Alert,57.88
Oct-12-2020,06:25:03,Start,56.02
Oct-13-2020,22:44:11,Alert,95.9
Oct-14-2020,00:20:18,Alert,53.07
Oct-16-2020,20:51:17,Run,72.92
Oct-17-2020,10:51:02,Stop,92.96
Oct-18-2020,16:43:31,Measure,43.6
Oct-19-2020,09:39:14,Alert,91.19
Oct-20-2020,04:03:57,Alert,92.57
Oct-21-2020,20:51:50,Start,93.76
Oct-23-2020,20:03:14,Start,34.34
Oct-24-2020,16:43:02,Run,46.03
Oct-25-2020,09:46:41,Start,88.34
Oct-26-2020,23:22:17,Idle,42.32
Oct-27-2020,00:34:52,Alert,64.02
Oct-28-2020,11:00:02,Start,20.62
Oct-29-2020,02:36:18,Stop,15.06
Oct-30-2020,00:35:28,Idle,47.08
Oct-31-2020,03:48:13,Run,62.1
Nov-01-2020,17:26:32,Measure,45.34
Nov-02-2020,21:47:02,Alert,62.0
Nov-03-2020,22:20:40,Alert,56.36
Nov-04-2020,22:03:20,Stop,71.71
Nov-05-2020,04:42:30,Measure,68.46
Nov-06-2020,20:25:40,Measure,48.18
Nov-07-2020,02:37:23,Run,48.25
Nov-08-2020,10:40:28,Run,22.67
Nov-09-2020,14:54:59,Idle,56.19
Nov-10-2020,02:00:51,Alert,62.85
Nov-12-2020,21:18:45,Start,52.88
Nov-13-2020,16:21:13,Run,39.31
Nov-14-2020,16:56:58,Stop,74.95
Nov-15-2020,13:43:15,Stop,16.72
Nov-16-2020,00:12:37,Stop,92.3
Nov-17-2020,16:11:54,Run,11.86
Nov-18-2020,18:37:38,Run,96.61
Nov-19-2020,00:32:28,Stop,51.61
Nov-20-2020,04:05:30,Run,47.14
Nov-21-2020,15:30:24,Start,33.08
Nov-22-2020,15:45:32,Start,10.91
Nov-23-2020,12:51:09,Idle,34.73
Nov-24-2020,23:09:40,Alert,19.85
Nov-25-2020,12:02:58,Start,69.38
Nov-27-2020,17:51:33,Idle,38.72
Nov-28-2020,16:27:18,Measure,79.05
Nov-29-2020,22:44:31,Alert,28.62
Nov-30-2020,12:32:33,Start,91.02
Dec-01-2020,00:55:04,Measure,57.07
Dec-02-2020,23:02:59,Idle,20.31
Dec-04-2020,06:23:21,Start,46.08
Dec-05-2020,12:22:29,Start,28.61
Dec-06-2020,17:31:55,Run,27.97
Dec-07-2020,20:06:32,Measure,55.57
Dec-08-2020,04:48:27,Start,70.47
Dec-10-2020,07:14:51,Stop,92.05
Dec-11-2020,03:33:04,Run,55.19
Dec-12-2020,00:56:04,Run,96.93
Dec-13-2020,05:33:57,Start,94.75
Dec-14-2020,00:03:38,Run,87.86
Dec-15-2020,21:25:32,Alert,55.0
Dec-16-2020,00:07:19,Measure,22.68
Dec-17-2020,15:20:44,Alert,29.61
Dec-18-2020,22:55:25,Idle,68.29
Dec-19-2020,22:17:30,Alert,47.96
Dec-20-2020,19:41:11,Stop,23.21
Dec-21-2020,00:41:08,Run,53.11
Dec-22-2020,02:59:50,Run,11.57
Dec-23-2020,08:41:50,Stop,76.05
Dec-24-2020,15:23:49,Run,16.62
Dec-25-2020,13:02:33,Alert,66.62
Dec-26-2020,00:49:23,Idle,81.37
Dec-27-2020,08:12:01,Start,21.94
Dec-28-2020,06:47:20,Stop,56.68
Dec-29-2020,18:24:46,Alert,80.12
Dec-30-2020,21:10:32,Alert,33.46
Dec-31-2020,20:38:19,Alert,24.66
Jan-01-2021,07:41:36,Start,40.31
Jan-02-2021,08:24:24,Measure,59.92
Jan-03-2021,00:01:18,Run,61.78
Jan-04-2021,13:19:41,Run,21.78
Jan-05-2021,08:41:28,Idle,51.18
Jan-06-2021,05:16:59,Measure,34.15
Jan-07-2021,05:03:29,Run,85.78
Jan-08-2021,19:02:22,Idle,38.22
Jan-09-2021,18:17:25,Idle,85.48
Jan-10-2021,23:35:07,Alert,48.57
Jan-11-2021,16:30:36,Stop,75.39
Jan-12-2021,12:56:32,Alert,55.91
Jan-15-2021,12:03:21,Start,65.98
Jan-16-2021,23:45:34,Run,45.58
Jan-17-2021,04:31:06,Idle,79.14
Jan-18-2021,00:30:54,Stop,48.27
Jan-19-2021,11:10:23,Run,51.17
Jan-21-2021,07:31:56,Idle,56.59
Jan-23-2021,05:59:21,Idle,84.86
Jan-24-2021,01:18:51,Alert,69.34
Jan-25-2021,19:55:13,Stop,41.42
Jan-27-2021,00:09:15,Stop,70.33
Jan-28-2021,03:26:27,Run,67.82
Jan-29-2021,10:15:58,Idle,93.79
Jan-30-2021,19:32:47,Stop,85.73
Jan-31-2021,18:20:21,Stop,68.27
Feb-01-2021,08:08:08,Run,40.74
Feb-02-2021,16:43:56,Alert,80.16
Feb-03-2021,12:07:15,Measure,61.77
Feb-04-2021,17:58:32,Start,98.67
Feb-06-2021,00:11:05,Measure,32.28
Feb-07-2021,08:54:04,Stop,17.17
Feb-08-2021,15:17:48,Idle,16.29
Feb-09-2021,17:00:18,Start,67.6
Feb-10-2021,21:07:02,Start,94.53
Feb-11-2021,04:54:39,Idle,10.17
Feb-12-2021,18:17:49,Start,75.32
Feb-13-2021,20:30:32,Idle,69.14
Feb-14-2021,14:17:56,Start,75.91
Feb-15-2021,06:15:15,Run,41.99
Feb-16-2021,14:37:40,Run,83.84
Feb-17-2021,06:13:42,Measure,14.02
Feb-18-2021,20:47:24,Start,77.99
Feb-19-2021,05:21:58,Alert,34.04
Feb-20-2021,15:51:28,Idle,52.92
Feb-21-2021,15:11:16,Start,84.04
Feb-23-2021,04:26:24,Run,34.42
Feb-24-2021,12:07:55,Run,26.67
Feb-25-2021,04:11:40,Idle,71.32
Feb-26-2021,02:34:32,Alert,58.01
Feb-27-2021,21:49:55,Start,56.3
Feb-28-2021,11:08:40,Start,33.11
Mar-01-2021,17:49:28,Alert,13.14
Mar-02-2021,06:26:35,Alert,46.92
Mar-03-2021,12:16:55,Alert,19.59
Mar-04-2021,01:45:02,Run,91.54
Mar-05-2021,04:13:02,Idle,13.71
Mar-06-2021,22:38:29,Alert,48.85
Mar-07-2021,17:44:22,Idle,14.7
Mar-08-2021,21:09:24,Measure,18.6
Mar-09-2021,12:15:40,Start,69.3
Mar-10-2021,01:54:36,Start,68.24
Mar-11-2021,21:16:22,Stop,12.97
Mar-12-2021,21:35:48,Measure,10.1
Mar-13-2021,08:51:01,Alert,17.09
Mar-14-2021,23:49:52,Alert,78.67
Mar-15-2021,21:42:12,Run,62.61
Mar-16-2021,07:58:00,Measure,13.43
Mar-17-2021,16:11:03,Alert,53.93
Mar-18-2021,20:12:30,Stop,74.08
Mar-19-2021,08:58:06,Idle,88.21
Mar-20-2021,22:23:04,Start,94.06
Mar-21-2021,04:16:29,Measure,39.47
Mar-22-2021,08:05:24,Start,22.22
Mar-23-2021,18:15:20,Idle,31.32
Mar-24-2021,01:09:15,Measure,79.86
Mar-25-2021,04:14:12,Idle,97.43
Mar-26-2021,12:31:44,Alert,51.98
Mar-27-2021,14:45:07,Alert,37.48
Mar-28-2021,10:17:55,Alert,48.63
Mar-29-2021,03:25:09,Idle,37.43
Mar-30-2021,00:28:04,Idle,33.08
Apr-01-2021,12:00:22,Idle,63.44
Apr-02-2021,07:02:02,Start,11.42
Apr-03-2021,06:35:34,Idle,33.36
Apr-05-2021,14:39:02,Alert,69.52
Apr-06-2021,06:17:10,Stop,12.89
Apr-07-2021,10:48:59,Idle,17.49
Apr-08-2021,05:39:00,Stop,36.41
Apr-09-2021,09:27:56,Alert,89.0
Apr-10-2021,18:02:35,Idle,78.84
Apr-12-2021,10:14:32,Start,11.99
Apr-13-2021,08:42:50,Start,55.15
Apr-14-2021,12:25:15,Stop,34.72
Apr-15-2021,03:32:19,Run,68.38
Apr-17-2021,12:32:04,Start,74.94
Apr-18-2021,04:13:26,Start,87.66
Apr-20-2021,22:13:39,Start,52.79
Apr-21-2021,03:38:51,Alert,99.5
Apr-22-2021,18:46:53,Start,98.2
Apr-23-2021,03:29:18,Measure,89.4
Apr-24-2021,08:52:12,Idle,61.74
Apr-25-2021,13:54:59,Start,45.82
Apr-26-2021,13:53:09,Run,42.79
Apr-27-2021,15:30:36,Run,11.09
Apr-28-2021,22:26:05,Start,32.43
Apr-29-2021,01:44:12,Start,74.69
Apr-30-2021,18:49:59,Measure,64.33
May-01-2021,18:00:39,Start,92.48
May-02-2021,21:47:28,Start,14.5
May-03-2021,01:39:37,Idle,23.97
May-05-2021,15:54:10,Run,81.03
May-06-2021,16:54:50,Measure,42.27
May-08-2021,10:59:07,Run,20.65
May-09-2021,21:03:10,Measure,99.68
May-10-2021,07:08:25,Run,80.85
May-11-2021,01:15:30,Start,46.79
May-12-2021,05:52:20,Run,84.1
May-14-2021,18:27:07,Run,71.25
May-15-2021,13:23:47,Measure,81.1
May-16-2021,11:36:55,Stop,83.37
May-17-2021,23:50:31,Measure,17.63
May-18-2021,17:40:01,Measure,66.07
May-19-2021,19:43:01,Measure,10.61
May-20-2021,09:00:35,Alert,13.91
May-21-2021,11:08:35,Alert,91.36
May-22-2021,08:27:37,Alert,57.48
May-24-2021,00:41:45,Measure,76.23
May-26-2021,21:24:17,Stop,85.47
May-27-2021,05:17:51,Measure,95.46
May-28-2021,15:14:47,Start,88.24
May-29-2021,07:12:54,Stop,53.5
May-30-2021,10:59:56,Alert,40.24
May-31-2021,06:16:49,Run,23.9
Jun-01-2021,21:54:50,Run,46.03
Jun-02-2021,12:46:22,Idle,42.98
Jun-03-2021,21:28:21,Stop,60.36
Jun-05-2021,00:28:47,Alert,69.9
Jun-06-2021,04:57:34,Stop,98.05
Jun-07-2021,22:09:18,Stop,75.55
Jun-08-2021,04:06:45,Run,67.94
Jun-09-2021,02:44:12,Measure,40.16
Jun-10-2021,09:01:05,Start,13.11
Jun-11-2021,07:35:24,Idle,35.93
Jun-12-2021,11:59:46,Alert,79.16
Jun-13-2021,07:06:45,Stop,28.47
Jun-14-2021,22:18:45,Idle,74.1
Jun-15-2021,21:12:20,Stop,62.18
Jun-16-2021,00:58:18,Run,25.47
Jun-17-2021,00:03:41,Start,33.55
Jun-18-2021,02:26:51,Run,54.67
Jun-19-2021,08:34:27,Idle,47.65
Jun-20-2021,05:05:54,Alert,80.07
Jun-21-2021,11:22:32,Stop,76.1
Jun-22-2021,15:23:04,Start,61.71
Jun-23-2021,08:41:12,Run,84.0
Jun-24-2021,14:11:04,Idle,60.64
Jun-25-2021,04:30:27,Run,96.8
Jun-26-2021,17:43:26,Stop,29.55
Jun-27-2021,02:25:56,Stop,74.27
Jun-28-2021,06:48:50,Alert,43.29
Jun-29-2021,17:32:24,Start,35.11
Jun-30-2021,23:30:36,Measure,26.23
Jul-01-2021,01:32:38,Run,59.73
Jul-02-2021,10:42:31,Stop,29.39
Jul-03-2021,17:16:33,Idle,28.03
Jul-04-2021,06:06:41,Run,99.15
Jul-05-2021,21:52:34,Alert,82.16
Jul-06-2021,11:34:10,Alert,77.34
Jul-07-2021,11:56:03,Stop,81.47
Jul-08-2021,15:31:19,Stop,97.2
Jul-09-2021,17:30:03,Stop,61.59
Jul-10-2021,21:37:52,Measure,29.82
Jul-11-2021,14:00:02,Stop,87.6
Jul-12-2021,04:21:16,Run,76.85
Jul-13-2021,13:40:34,Run,47.29
Jul-14-2021,12:34:42,Start,52.62
Jul-15-2021,01:55:46,Idle,47.01
Jul-17-2021,12:50:53,Stop,93.69
Jul-20-2021,15:17:06,Run,40.92
Jul-21-2021,12:35:40,Run,96.71
Jul-22-2021,09:40:06,Run,91.92
Jul-23-2021,14:59:39,Measure,66.75
Jul-24-2021,18:42:36,Idle,62.18
Jul-25-2021,01:41:47,Alert,43.31
Jul-26-2021,22:12:39,Run,11.65
Jul-27-2021,08:42:42,Stop,21.49
Jul-28-2021,22:57:30,Run,77.88
Jul-29-2021,15:41:55,Idle,52.44
Jul-30-2021,11:56:05,Alert,23.49
Jul-31-2021,11:09:49,Measure,33.76
Aug-01-2021,17:03:08,Start,95.31
Aug-02-2021,06:49:07,Stop,43.04
Aug-03-2021,10:06:40,Start,91.69
Aug-04-2021,07:02:16,Measure,37.42
Aug-05-2021,01:14:45,Idle,58.89
Aug-06-2021,17:47:51,Idle,11.84
Aug-07-2021,21:03:56,Measure,56.97
Aug-08-2021,19:05:37,Run,67.32
Aug-09-2021,10:25:16,Measure,31.09
Aug-10-2021,23:27:34,Stop,62.1
Aug-11-2021,12:53:34,Alert,68.25
Aug-12-2021,15:14:42,Start,71.82
Aug-13-2021,17:46:36,Start,79.88
Aug-14-2021,15:47:48,Idle,38.02
Aug-16-2021,08:26:54,Run,61.1
Aug-17-2021,02:51:44,Idle,98.34
Aug-18-2021,21:34:27,Stop,90.83
Aug-19-2021,06:37:08,Measure,95.74
Aug-20-2021,11:14:20,Start,44.75
Aug-21-2021,19:34:41,Stop,80.82
Aug-22-2021,00:50:18,Idle,65.79
Aug-24-2021,22:22:12,Idle,17.45
Aug-25-2021,11:00:50,Start,84.16
Aug-26-2021,23:15:24,Idle,70.94
Aug-27-2021,22:22:27,Run,27.9
Aug-28-2021,14:15:42,Idle,17.18
Aug-29-2021,23:37:10,Alert,85.33
Aug-30-2021,02:14:00,Measure,17.1
Aug-31-2021,06:00:48,Idle,18.22
Sep-01-2021,08:28:25,Alert,48.47
Sep-02-2021,22:44:42,Stop,22.13
Sep-03-2021,19:37:32,Idle,92.23
Sep-04-2021,06:11:30,Run,52.33
Sep-05-2021,21:19:54,Stop,61.22
Sep-06-2021,18:16:35,Idle,93.53
Sep-07-2021,02:00:49,Start,57.72
Sep-08-2021,20:46:39,Alert,41.82
Sep-09-2021,00:19:13,Alert,81.74
Sep-10-2021,03:04:22,Start,49.86
Sep-11-2021,12:59:55,Measure,38.66
Sep-12-2021,14:05:32,Run,75.09
Sep-13-2021,22:18:12,Alert,82.14
Sep-14-2021,05:14:15,Stop,81.25
Sep-15-2021,23:22:47,Run,97.99
Sep-16-2021,09:53:40,Alert,80.8
Sep-17-2021,08:48:16,Measure,79.29
Sep-18-2021,16:55:43,Stop,87.17
Sep-19-2021,12:29:43,Run,10.02
Sep-20-2021,13:09:54,Stop,42.62
Sep-21-2021,18:28:01,Start,76.38
Sep-22-2021,03:18:06,Idle,63.97
Sep-23-2021,14:46:55,Start,25.98
Sep-24-2021,05:02:37,Run,37.34
Sep-25-2021,15:01:30,Idle,40.31
Sep-26-2021,06:29:42,Start,61.1
Sep-27-2021,06:35:28,Idle,84.84
Sep-28-2021,23:51:38,Alert,93.92
Sep-29-2021,03:28:43,Stop,77.51
Sep-30-2021,04:54:28,Idle,85.87
Oct-01-2021,18:25:36,Alert,52.31
Oct-02-2021,18:52:29,Measure,45.08
Oct-03-2021,02:58:57,Start,45.34
Oct-04-2021,10:06:48,Measure,65.44
Oct-05-2021,08:52:40,Run,21.18
Oct-06-2021,09:12:14,Alert,62.15
Oct-07-2021,21:04:28,Measure,69.86
Oct-10-2021,02:26:26,Measure,49.5
Oct-11-2021,07:31:19,Alert,95.79
Oct-12-2021,09:12:28,Stop,64.74
Oct-13-2021,02:53:07,Idle,29.8
Oct-14-2021,08:29:21,Run,53.13
Oct-15-2021,20:11:10,Run,70.79
Oct-16-2021,01:49:40,Start,39.13
Oct-17-2021,01:33:02,Idle,17.17
Oct-18-2021,15:50:03,Start,62.51
Oct-19-2021,22:56:49,Run,95.31
Oct-20-2021,19:24:29,Idle,53.66
Oct-21-2021,17:41:10,Measure,91.55
Oct-22-2021,16:25:55,Stop,85.15
Oct-23-2021,22:55:51,Measure,23.27
Oct-24-2021,15:19:44,Stop,73.74
Oct-25-2021,01:23:30,Alert,49.19
Oct-26-2021,01:56:13,Start,32.52
Oct-27-2021,03:48:12,Start,71.82
Oct-28-2021,03:34:43,Alert,76.84
Oct-29-2021,21:54:07,Idle,26.19
Oct-30-2021,01:05:30,Alert,92.3
Oct-31-2021,21:09:43,Run,77.6
Nov-01-2021,20:41:09,Alert,94.0
Nov-02-2021,22:02:31,Stop,38.54
Nov-03-2021,19:09:28,Run,94.54
Nov-04-2021,08:51:50,Alert,43.17
Nov-06-2021,13:33:36,Start,14.86
Nov-07-2021,19:07:06,Measure,78.67
Nov-08-2021,05:10:43,Stop,73.32
Nov-09-2021,17:50:41,Stop,63.81
Nov-10-2021,20:45:02,Idle,54.09
Nov-11-2021,17:23:46,Measure,12.89
Nov-12-2021,05:09:26,Stop,66.21
Nov-13-2021,11:06:16,Alert,47.52
