Gender,Length,Diameter,Height,Weight,Age
I,0.375,0.28,0.08,0.2345,6
1,0.285,0.215,0.075,0.106,5
0,0.42,0.33,0.125,0.463,10
0,0.53,0.385,0.125,0.6695,10
0,0.605,0.49,0.15,1.1345,9
0,0.705,0.53,0.17,1.564,10
I,0.345,0.27,0.11,0.2135,7
I,0.44,0.34,0.125,0.4895,13
1,0.355,0.29,0.09,0.3275,9
1,0.67,0.545,0.2,1.7025,11
0,0.6,0.48,0.165,1.1345,10
0,0.705,0.535,0.22,1.866,10
I,0.495,0.375,0.12,0.614,8
I,0.52,0.395,0.125,0.663,9
I,0.32,0.255,0.1,0.1755,7
I,0.54,0.39,0.125,0.6255,8
1,0.7,0.565,0.18,1.751,9
1,0.59,0.45,0.185,1.283,16
I,0.57,0.425,0.14,0.7655,10
1,0.575,0.45,0.155,0.886,9
I,0.575,0.45,0.135,0.807,10
0,0.475,0.365,0.115,0.566,7
I,0.56,0.425,0.14,0.9175,10
