측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),일산화탄소농도(ppm)
20160103,중구,0.064,0.016,0.5,0.009,86.0,50.0,
20160103,중랑구,0.061,0.008,1.2,0.008,92.0,54.0,
20160103,천호대로,0.063,0.006,1.1,0.009,91.0,61.0,
20160103,청계천로,0.054,0.012,0.8,0.011,96.0,36.0,
20160103,한강대로,0.057,0.011,0.9,0.008,104.0,59.0,
20160103,홍릉로,0.064,0.007,1.2,0.009,97.0,80.0,
20160104,강남구,0.028,0.03,0.6,0.006,83.0,47.0,
20160104,강남대로,0.046,0.012,0.9,0.009,82.0,50.0,
20160104,강동구,0.024,0.003,0.6,0.004,77.0,38.0,
20160104,강변북로,0.039,0.014,0.8,0.007,83.0,40.0,
20160104,강북구,0.021,0.03,0.7,0.005,78.0,48.0,
20160104,강서구,0.024,0.022,0.5,0.006,25.0,43.0,
20160104,공항대로,0.028,0.012,0.5,0.005,93.0,40.0,
20160104,관악구,0.033,0.027,0.7,0.005,66.0,45.0,
20160104,광진구,0.024,0.026,0.8,0.005,85.0,61.0,
20160104,구로구,0.021,0.025,0.7,0.007,77.0,42.0,
20160104,금천구,0.03,0.025,0.7,0.007,86.0,60.0,
20160104,노원구,0.019,0.03,0.6,0.008,72.0,46.0,
20160104,도봉구,0.018,0.041,0.5,0.006,68.0,41.0,
20160104,도산대로,0.037,0.016,0.8,0.005,72.0,41.0,
20160104,동대문구,0.02,0.025,0.7,0.007,76.0,46.0,
20160104,동작구,0.028,0.028,0.5,0.005,70.0,51.0,
20160104,동작대로,0.059,0.015,0.8,0.007,91.0,51.0,
20160104,마포구,0.026,0.024,0.7,0.006,74.0,57.0,
20160104,서대문구,0.029,0.027,0.6,0.006,89.0,43.0,
20160104,서초구,0.023,0.021,0.5,0.006,106.0,43.0,
20160104,성동구,0.026,0.023,0.6,0.005,33.0,48.0,
20160104,성북구,0.022,0.029,0.6,0.006,64.0,38.0,
20160104,송파구,0.025,0.03,0.6,0.006,61.0,35.0,
20160104,신촌로,0.05,0.011,0.8,0.005,104.0,41.0,
20160104,양천구,0.029,0.021,0.7,0.005,87.0,62.0,
20160104,영등포구,0.024,0.017,0.7,0.007,96.0,43.0,
20160104,영등포로,0.043,0.017,0.5,0.008,96.0,50.0,
20160104,용산구,0.029,0.022,0.5,0.006,66.0,49.0,
20160104,은평구,0.027,0.029,0.7,0.007,82.0,46.0,
20160104,정릉로,0.022,0.026,0.6,0.008,79.0,42.0,
20160104,종로,0.025,0.027,0.5,0.005,83.0,44.0,
20160104,종로구,0.022,0.02,0.4,0.006,84.0,58.0,
20160104,중구,0.032,0.026,0.4,0.007,70.0,38.0,
20160104,중랑구,0.031,0.024,0.7,0.007,80.0,45.0,
20160104,천호대로,0.037,0.019,0.5,0.006,76.0,48.0,
20160104,청계천로,0.03,0.024,0.6,0.01,75.0,27.0,
20160104,한강대로,0.035,0.018,0.7,0.006,83.0,45.0,
20160104,홍릉로,0.042,0.015,0.8,0.008,74.0,58.0,
20160104,화랑로,0.045,0.012,0.7,0.005,26.0,8.0,
20160105,강남구,0.028,0.022,0.4,0.006,33.0,16.0,
20160105,강남대로,0.047,0.008,0.7,0.009,35.0,18.0,
20160105,강동구,0.024,0.006,0.4,0.004,30.0,13.0,
20160105,강변북로,0.032,0.011,0.5,0.007,38.0,16.0,
20160105,강북구,0.022,0.019,0.5,0.004,31.0,18.0,
20160105,강서구,0.023,0.015,0.3,0.006,38.0,16.0,
20160105,공항대로,0.031,0.009,0.5,0.005,65.0,18.0,
20160105,관악구,0.034,0.015,0.5,0.005,33.0,18.0,
20160105,광진구,0.021,0.018,0.3,0.006,29.0,19.0,
20160105,구로구,0.023,0.015,0.5,0.006,31.0,16.0,
20160105,금천구,0.028,0.015,0.5,0.006,31.0,18.0,
20160105,노원구,0.019,0.019,0.4,0.007,26.0,15.0,
20160105,도봉구,0.019,0.027,0.3,0.005,26.0,12.0,
20160105,도산대로,0.036,0.01,0.6,0.005,32.0,15.0,
20160105,동대문구,0.024,0.017,0.6,0.006,28.0,14.0,
20160105,동작구,0.029,0.017,0.4,0.005,30.0,19.0,
20160105,동작대로,0.055,0.009,0.6,0.007,43.0,23.0,
20160105,마포구,0.021,0.018,0.4,0.005,26.0,19.0,
20160105,서대문구,0.03,0.018,0.6,0.006,37.0,17.0,
20160105,서초구,0.025,0.013,0.3,0.006,58.0,17.0,
20160105,성동구,0.026,0.016,0.4,0.004,35.0,16.0,
20160105,성북구,0.023,0.02,0.4,0.006,29.0,15.0,
20160105,송파구,0.023,0.021,0.3,0.006,27.0,13.0,
20160105,신촌로,0.047,0.009,0.6,0.006,44.0,17.0,
20160105,양천구,0.027,0.015,0.5,0.005,37.0,21.0,
20160105,영등포구,0.026,0.01,0.6,0.007,40.0,18.0,
20160105,영등포로,0.043,0.011,0.4,0.008,42.0,18.0,
20160105,용산구,0.027,0.014,0.2,0.005,26.0,17.0,
20160105,은평구,0.025,0.017,0.5,0.007,34.0,15.0,
20160105,정릉로,0.021,0.016,0.5,0.008,42.0,21.0,
20160105,종로,0.025,0.02,0.5,0.005,31.0,17.0,
20160105,종로구,0.022,0.006,0.3,0.005,29.0,18.0,
20160105,중구,0.028,0.02,0.2,0.007,30.0,13.0,
20160105,중랑구,0.025,0.018,0.5,0.006,31.0,16.0,
20160105,천호대로,0.042,0.01,0.5,0.006,30.0,18.0,
20160105,청계천로,0.031,0.014,0.4,0.01,32.0,9.0,
20160105,한강대로,0.033,0.014,0.5,0.005,35.0,17.0,
20160105,홍릉로,0.04,0.012,0.5,0.008,29.0,20.0,
20160105,화랑로,0.043,0.011,0.6,0.006,36.0,14.0,
20160106,강남구,0.042,0.009,0.6,0.007,61.0,29.0,
20160106,강남대로,0.058,0.003,1.0,0.01,67.0,34.0,
20160106,강동구,0.044,0.004,0.7,0.005,66.0,31.0,
20160106,강변북로,0.039,0.007,0.7,0.008,63.0,29.0,
20160106,강북구,0.038,0.008,0.8,0.006,55.0,33.0,
20160106,강서구,0.04,0.005,0.6,0.007,63.0,27.0,
20160106,공항대로,0.039,0.004,0.8,0.006,79.0,30.0,
20160106,관악구,0.047,0.009,0.7,0.007,51.0,30.0,
20160106,광진구,0.039,0.007,0.7,0.006,59.0,37.0,
20160106,구로구,0.034,0.008,0.7,0.008,49.0,27.0,
20160106,금천구,0.043,0.007,0.7,0.007,53.0,33.0,
20160106,노원구,0.039,0.008,0.7,0.008,46.0,29.0,
20160106,도봉구,0.038,0.012,0.6,0.007,48.0,25.0,
20160106,도산대로,0.05,0.006,0.9,0.006,53.0,26.0,
20160106,동대문구,0.042,0.007,0.8,0.008,56.0,28.0,
20160106,동작구,0.045,0.009,0.6,0.006,49.0,34.0,
20160106,동작대로,0.065,0.005,0.8,0.008,67.0,35.0,
20160106,마포구,0.038,0.006,0.7,0.006,43.0,30.0,
20160106,서대문구,0.052,0.008,0.8,0.006,57.0,27.0,
20160106,서초구,0.036,0.006,0.5,0.007,68.0,26.0,
20160106,성동구,0.041,0.007,0.7,0.005,61.0,28.0,
20160106,성북구,0.043,0.008,0.8,0.009,57.0,28.0,
20160106,송파구,0.039,0.007,0.7,0.006,57.0,27.0,
20160106,신촌로,0.058,0.004,0.9,0.008,68.0,28.0,
20160106,양천구,0.041,0.008,0.7,0.006,59.0,36.0,
20160106,영등포구,0.033,0.006,0.7,0.007,63.0,28.0,
20160106,영등포로,0.058,0.004,0.6,0.009,69.0,31.0,
20160106,용산구,0.04,0.008,0.4,0.006,43.0,30.0,
20160106,은평구,0.039,0.01,0.6,0.008,51.0,26.0,
20160106,정릉로,0.03,0.009,0.7,0.009,67.0,33.0,
20160106,종로,0.044,0.008,0.7,0.006,54.0,23.0,
20160106,종로구,0.04,0.002,0.5,0.006,50.0,31.0,
20160106,중구,0.046,0.008,0.5,0.008,63.0,24.0,
20160106,중랑구,0.041,0.011,0.7,0.007,60.0,33.0,
20160106,천호대로,0.053,0.003,0.7,0.007,58.0,29.0,
20160106,청계천로,0.049,0.005,0.7,0.011,51.0,16.0,
20160106,한강대로,0.05,0.005,0.8,0.007,60.0,32.0,
20160106,홍릉로,0.055,0.004,0.8,0.009,54.0,39.0,
20160106,화랑로,0.053,0.004,0.9,0.007,64.0,30.0,
20160107,강남구,0.028,0.021,0.5,0.006,41.0,19.0,
20160107,강남대로,0.046,0.008,0.8,0.008,44.0,22.0,
20160107,강동구,0.03,0.009,0.6,0.005,48.0,23.0,
20160107,강변북로,0.034,0.011,0.5,0.007,47.0,19.0,
20160107,강북구,0.023,0.018,0.5,0.005,35.0,21.0,
20160107,강서구,0.027,0.013,0.4,0.007,47.0,20.0,
20160107,공항대로,0.034,0.008,0.7,0.005,67.0,24.0,
20160107,관악구,0.033,0.017,0.6,0.006,39.0,22.0,
20160107,광진구,0.023,0.017,0.3,0.005,37.0,23.0,
20160107,구로구,0.023,0.016,0.6,0.007,36.0,18.0,
20160107,금천구,0.03,0.015,0.5,0.007,38.0,23.0,
20160107,노원구,0.025,0.015,0.6,0.007,36.0,22.0,
20160107,도봉구,0.016,0.029,0.4,0.006,33.0,16.0,
20160107,도산대로,0.036,0.011,0.7,0.005,38.0,20.0,
20160107,동대문구,0.022,0.017,0.6,0.007,39.0,19.0,
20160107,동작구,0.03,0.017,0.5,0.005,33.0,22.0,
20160107,동작대로,0.057,0.009,0.7,0.007,50.0,28.0,
20160107,마포구,0.024,0.016,0.5,0.006,31.0,21.0,
20160107,서대문구,0.034,0.016,0.7,0.006,43.0,20.0,
20160107,서초구,0.025,0.013,0.4,0.006,52.0,20.0,
20160107,성동구,0.027,0.015,0.5,0.005,43.0,20.0,
20160107,성북구,0.026,0.018,0.6,0.007,38.0,17.0,
20160107,송파구,0.023,0.021,0.4,0.005,36.0,17.0,
20160107,신촌로,0.047,0.008,0.7,0.004,52.0,20.0,
20160107,양천구,0.029,0.013,0.6,0.005,44.0,25.0,
20160107,영등포구,0.026,0.011,0.7,0.007,48.0,21.0,
20160107,영등포로,0.044,0.011,0.5,0.008,50.0,22.0,
20160107,용산구,0.028,0.014,0.3,0.005,31.0,21.0,
20160107,은평구,0.028,0.017,0.5,0.008,40.0,19.0,
20160107,정릉로,0.019,0.02,0.5,0.008,47.0,15.0,
20160107,종로,0.026,0.019,0.5,0.005,38.0,18.0,
20160107,종로구,0.022,0.006,0.3,0.005,37.0,23.0,
20160107,중구,0.027,0.016,0.3,0.007,39.0,19.0,
20160107,중랑구,0.032,0.016,0.6,0.007,42.0,21.0,
20160107,천호대로,0.041,0.01,0.6,0.007,42.0,25.0,
20160107,청계천로,0.031,0.014,0.5,0.01,37.0,11.0,
20160107,한강대로,0.034,0.012,0.6,0.005,46.0,24.0,
20160107,홍릉로,0.039,0.01,0.6,0.009,37.0,26.0,
20160107,화랑로,0.045,0.01,0.8,0.006,49.0,22.0,
20160108,강남구,0.03,0.02,0.5,0.006,33.0,16.0,
20160108,강남대로,0.053,0.008,0.9,0.009,45.0,21.0,
20160108,강동구,0.034,0.008,0.6,0.005,40.0,19.0,
20160108,강변북로,0.04,0.01,0.5,0.007,40.0,16.0,
20160108,강북구,0.03,0.015,0.7,0.005,32.0,20.0,
20160108,강서구,0.029,0.013,0.5,0.007,38.0,16.0,
20160108,공항대로,0.041,0.006,0.7,0.006,73.0,22.0,
20160108,관악구,0.037,0.014,0.6,0.006,35.0,20.0,
20160108,광진구,0.029,0.014,0.5,0.006,36.0,22.0,
20160108,구로구,0.027,0.014,0.6,0.007,30.0,16.0,
20160108,금천구,0.033,0.013,0.6,0.006,33.0,19.0,
20160108,노원구,0.032,0.012,0.6,0.007,31.0,35.0,
20160108,도봉구,0.028,0.02,0.5,0.006,30.0,15.0,
20160108,도산대로,0.039,0.011,0.6,0.006,34.0,16.0,
20160108,동대문구,0.032,0.013,0.7,0.007,36.0,18.0,
20160108,동작구,0.033,0.015,0.5,0.005,29.0,15.0,
20160108,동작대로,0.05,0.011,0.7,0.008,48.0,26.0,
20160108,마포구,0.026,0.015,0.5,0.006,25.0,17.0,
20160108,서대문구,0.036,0.017,0.7,0.006,34.0,16.0,
20160108,서초구,0.028,0.012,0.4,0.007,48.0,18.0,
20160108,성동구,0.03,0.014,0.5,0.005,35.0,16.0,
20160108,성북구,0.032,0.015,0.7,0.007,34.0,13.0,
20160108,송파구,0.031,0.016,0.5,0.006,35.0,17.0,
20160108,신촌로,0.053,0.007,0.7,0.008,46.0,17.0,
20160108,양천구,0.031,0.013,0.5,0.005,35.0,19.0,
20160108,영등포구,0.028,0.009,0.7,0.007,38.0,18.0,
20160108,영등포로,0.049,0.009,0.5,0.008,42.0,18.0,
20160108,용산구,0.027,0.014,0.2,0.005,24.0,17.0,
20160108,은평구,0.03,0.017,0.4,0.007,35.0,16.0,
20160108,정릉로,0.029,0.013,0.6,0.008,39.0,21.0,
20160108,종로,0.029,0.018,0.5,0.005,34.0,17.0,
20160108,종로구,0.026,0.006,0.3,0.005,34.0,22.0,
20160108,중구,0.027,0.017,0.3,0.007,32.0,14.0,
20160108,중랑구,0.033,0.016,0.6,0.007,33.0,18.0,
20160108,천호대로,0.049,0.007,0.6,0.007,45.0,20.0,
20160108,청계천로,0.038,0.013,0.5,0.01,32.0,10.0,
20160108,한강대로,0.037,0.012,0.6,0.006,39.0,20.0,
20160108,홍릉로,0.042,0.009,0.6,0.009,35.0,24.0,
20160108,화랑로,0.05,0.007,0.8,0.006,47.0,21.0,
20160109,강남구,0.029,0.02,0.4,0.006,35.0,18.0,
20160109,강남대로,0.048,0.008,0.7,0.007,41.0,20.0,
20160109,강동구,0.038,0.006,0.6,0.005,44.0,22.0,
20160109,강변북로,0.057,0.009,0.6,0.007,44.0,18.0,
20160109,강북구,0.031,0.015,0.6,0.005,35.0,22.0,
20160109,강서구,0.031,0.013,0.5,0.007,40.0,18.0,
20160109,공항대로,0.038,0.006,0.7,0.006,63.0,23.0,
20160109,관악구,0.038,0.014,0.6,0.006,40.0,23.0,
20160109,광진구,0.03,0.015,0.5,0.004,39.0,25.0,
20160109,구로구,0.027,0.015,0.6,0.007,31.0,17.0,
20160109,금천구,0.032,0.015,0.5,0.006,35.0,20.0,
20160109,노원구,0.036,0.01,0.7,0.007,36.0,20.0,
20160109,도봉구,0.032,0.018,0.6,0.005,34.0,18.0,
20160109,도산대로,0.04,0.011,0.6,0.006,37.0,19.0,
20160109,동대문구,0.03,0.015,0.7,0.007,36.0,18.0,
20160109,동작구,0.031,0.018,0.4,0.005,31.0,16.0,
20160109,동작대로,0.048,0.012,0.7,0.007,50.0,28.0,
20160109,마포구,0.027,0.015,0.5,0.006,28.0,20.0,
20160109,서대문구,0.037,0.016,0.7,0.006,39.0,19.0,
20160109,서초구,0.029,0.012,0.4,0.006,52.0,19.0,
20160109,성동구,0.033,0.013,0.5,0.005,39.0,17.0,
20160109,성북구,0.033,0.015,0.6,0.006,37.0,17.0,
20160109,송파구,0.029,0.017,0.4,0.006,35.0,16.0,
20160109,신촌로,0.05,0.007,0.7,0.006,51.0,20.0,
20160109,양천구,0.031,0.014,0.6,0.005,39.0,24.0,
20160109,영등포구,0.026,0.01,0.7,0.007,42.0,19.0,
20160109,영등포로,0.052,0.008,0.6,0.008,47.0,22.0,
20160109,용산구,0.031,0.013,0.3,0.005,29.0,20.0,
20160109,은평구,0.036,0.009,0.4,0.006,33.0,19.0,
20160109,정릉로,0.029,0.014,0.6,0.008,41.0,22.0,
20160109,종로,0.034,0.016,0.5,0.005,35.0,17.0,
20160109,종로구,0.027,0.005,0.3,0.005,35.0,22.0,
20160109,중구,0.031,0.016,0.4,0.007,34.0,17.0,
20160109,중랑구,0.036,0.014,0.6,0.007,37.0,19.0,
20160109,천호대로,0.044,0.008,0.6,0.007,40.0,20.0,
20160109,청계천로,0.037,0.012,0.5,0.011,33.0,10.0,
20160109,한강대로,0.04,0.011,0.6,0.006,44.0,23.0,
20160109,홍릉로,0.043,0.009,0.6,0.009,37.0,26.0,
20160109,화랑로,0.05,0.006,0.9,0.006,50.0,23.0,
20160110,강남구,0.023,0.03,0.4,0.006,31.0,17.0,
20160110,강남대로,0.044,0.009,0.7,0.006,40.0,20.0,
20160110,강동구,0.027,0.013,0.5,0.005,32.0,17.0,
20160110,강변북로,0.04,0.018,0.5,0.007,36.0,17.0,
20160110,강북구,0.029,0.02,0.5,0.005,32.0,21.0,
20160110,강서구,0.027,0.017,0.4,0.007,35.0,18.0,
20160110,공항대로,0.027,0.011,0.5,0.006,54.0,21.0,
20160110,관악구,0.037,0.017,0.6,0.005,38.0,24.0,
20160110,광진구,0.022,0.022,0.5,0.004,33.0,24.0,
20160110,구로구,0.025,0.018,0.6,0.007,28.0,17.0,
20160110,금천구,0.029,0.018,0.5,0.006,33.0,22.0,
20160110,노원구,0.025,0.02,0.5,0.008,30.0,12.0,
20160110,도봉구,0.023,0.029,0.4,0.005,28.0,15.0,
20160110,도산대로,0.035,0.016,0.6,0.005,33.0,18.0,
20160110,동대문구,0.023,0.022,0.7,0.007,31.0,17.0,
20160110,동작구,0.027,0.023,0.4,0.005,29.0,18.0,
20160110,동작대로,0.044,0.017,0.6,0.007,45.0,26.0,
20160110,마포구,0.024,0.02,0.5,0.006,29.0,21.0,
20160110,서대문구,0.034,0.021,0.6,0.006,34.0,18.0,
20160110,서초구,0.022,0.02,0.4,0.006,42.0,18.0,
20160110,성동구,0.022,0.022,0.5,0.005,33.0,17.0,
20160110,성북구,0.027,0.021,0.5,0.007,32.0,17.0,
20160110,송파구,0.021,0.028,0.4,0.006,27.0,14.0,
20160110,신촌로,0.048,0.009,0.7,0.006,46.0,20.0,
20160110,양천구,0.03,0.017,0.6,0.005,40.0,27.0,
20160110,영등포구,0.023,0.012,0.6,0.007,39.0,20.0,
20160110,영등포로,0.042,0.013,0.5,0.008,44.0,21.0,
20160110,용산구,0.028,0.018,0.2,0.005,28.0,20.0,
20160110,은평구,0.029,0.022,0.5,0.007,32.0,17.0,
20160110,정릉로,0.031,0.017,0.5,0.008,39.0,21.0,
20160110,종로,0.023,0.025,0.5,0.005,35.0,16.0,
20160110,종로구,0.02,0.009,0.3,0.005,32.0,23.0,
20160110,중구,0.024,0.023,0.4,0.007,30.0,16.0,
20160110,중랑구,0.028,0.024,0.6,0.007,31.0,18.0,
20160110,천호대로,0.039,0.013,0.5,0.006,33.0,25.0,
20160110,청계천로,0.029,0.02,0.4,0.01,30.0,10.0,
20160110,한강대로,0.036,0.015,0.6,0.006,38.0,21.0,
20160110,홍릉로,0.038,0.013,0.5,0.009,33.0,24.0,
20160110,화랑로,0.044,0.013,0.6,0.006,35.0,18.0,
20160111,강남구,0.032,0.02,0.5,0.006,42.0,20.0,
20160111,강남대로,0.049,0.009,0.7,0.007,44.0,22.0,
20160111,강동구,0.032,0.009,0.6,0.005,42.0,20.0,
20160111,강변북로,0.055,0.011,0.6,0.007,47.0,20.0,
20160111,강북구,0.026,0.02,0.5,0.005,34.0,21.0,
20160111,강서구,0.025,0.016,0.4,0.006,44.0,20.0,
20160111,공항대로,0.034,0.009,0.6,0.005,69.0,23.0,
20160111,관악구,0.039,0.014,0.6,0.005,43.0,26.0,
20160111,광진구,0.03,0.016,0.6,0.005,43.0,29.0,
20160111,구로구,0.025,0.016,0.6,0.006,35.0,20.0,
20160111,금천구,0.031,0.015,0.5,0.006,38.0,22.0,
20160111,노원구,0.019,0.023,0.5,0.007,33.0,13.0,
20160111,도봉구,0.022,0.026,0.4,0.006,34.0,16.0,
20160111,도산대로,0.038,0.013,0.6,0.006,43.0,21.0,
20160111,동대문구,0.027,0.018,0.7,0.007,38.0,18.0,
20160111,동작구,0.033,0.016,0.5,0.005,35.0,19.0,
20160111,동작대로,0.049,0.012,0.7,0.007,52.0,30.0,
20160111,마포구,0.025,0.017,0.5,0.006,32.0,22.0,
20160111,서대문구,0.029,0.02,0.7,0.006,43.0,20.0,
20160111,서초구,0.028,0.014,0.4,0.006,59.0,22.0,
20160111,성동구,0.031,0.015,0.5,0.005,45.0,20.0,
20160111,성북구,0.028,0.02,0.6,0.007,38.0,18.0,
20160111,송파구,0.03,0.018,0.5,0.006,39.0,18.0,
20160111,신촌로,0.05,0.009,0.7,0.005,54.0,21.0,
20160111,양천구,0.029,0.016,0.6,0.005,45.0,26.0,
20160111,영등포구,0.027,0.01,0.7,0.007,48.0,21.0,
