소방서명,신고시간,출동시간
서부,2022-01-03 20:51,2022-01-03 20:57
중부,2022-01-03 10:07,2022-01-03 10:11
북부,2022-01-03 15:34,2022-01-03 15:38
북부,2022-01-03 13:27,2022-01-03 13:32
서부,2022-01-03 05:19,2022-01-03 05:20
서부,2022-01-03 01:49,2022-01-03 01:52
중부,2022-01-03 05:18,2022-01-03 05:19
북부,2022-01-03 03:56,2022-01-03 03:57
동부,2022-01-03 10:59,2022-01-03 11:02
북부,2022-01-03 02:40,2022-01-03 02:42
남부,2022-01-03 06:42,2022-01-03 06:45
중부,2022-01-03 04:52,2022-01-03 04:53
서부,2022-01-03 11:56,2022-01-03 12:01
서부,2022-01-03 10:24,2022-01-03 10:28
남부,2022-01-03 17:39,2022-01-03 17:44
중부,2022-01-03 08:17,2022-01-03 08:21
북부,2022-01-03 03:08,2022-01-03 03:10
서부,2022-01-03 08:12,2022-01-03 08:15
서부,2022-01-03 01:55,2022-01-03 01:56
동부,2022-01-03 21:00,2022-01-03 21:08
동부,2022-01-03 15:48,2022-01-03 15:51
북부,2022-01-03 13:21,2022-01-03 13:26
동부,2022-01-03 14:34,2022-01-03 14:39
북부,2022-01-03 17:47,2022-01-03 17:53
남부,2022-01-03 06:12,2022-01-03 06:16
동부,2022-01-03 13:07,2022-01-03 13:12
북부,2022-01-03 02:30,2022-01-03 02:32
북부,2022-01-03 02:44,2022-01-03 02:46
동부,2022-01-03 22:01,2022-01-03 22:09
남부,2022-01-04 06:03,2022-01-04 06:06
동부,2022-01-04 20:02,2022-01-04 20:09
중부,2022-01-04 11:16,2022-01-04 11:19
서부,2022-01-04 07:21,2022-01-04 07:25
북부,2022-01-04 10:25,2022-01-04 10:28
남부,2022-01-04 09:50,2022-01-04 09:54
북부,2022-01-04 16:38,2022-01-04 16:43
남부,2022-01-04 13:20,2022-01-04 13:24
중부,2022-01-04 12:54,2022-01-04 12:59
중부,2022-01-04 19:43,2022-01-04 19:51
서부,2022-01-04 06:07,2022-01-04 06:08
중부,2022-01-04 06:33,2022-01-04 06:36
서부,2022-01-04 05:56,2022-01-04 05:57
북부,2022-01-04 17:37,2022-01-04 17:42
동부,2022-01-04 18:13,2022-01-04 18:19
동부,2022-01-04 22:03,2022-01-04 22:11
중부,2022-01-04 14:01,2022-01-04 14:06
동부,2022-01-04 22:35,2022-01-04 22:42
남부,2022-01-04 20:31,2022-01-04 20:38
동부,2022-01-04 13:44,2022-01-04 13:49
서부,2022-01-04 07:10,2022-01-04 07:14
남부,2022-01-04 03:54,2022-01-04 03:57
중부,2022-01-04 23:42,2022-01-04 23:49
남부,2022-01-04 10:36,2022-01-04 10:40
중부,2022-01-04 10:43,2022-01-04 10:45
북부,2022-01-04 08:42,2022-01-04 08:45
남부,2022-01-04 19:48,2022-01-04 19:55
서부,2022-01-04 03:36,2022-01-04 03:37
남부,2022-01-04 20:52,2022-01-04 20:59
서부,2022-01-04 03:10,2022-01-04 03:12
남부,2022-01-04 00:41,2022-01-04 00:43
남부,2022-01-04 07:29,2022-01-04 07:34
서부,2022-01-04 06:15,2022-01-04 06:18
중부,2022-01-04 09:09,2022-01-04 09:14
북부,2022-01-04 02:05,2022-01-04 02:06
서부,2022-01-04 20:03,2022-01-04 20:11
북부,2022-01-04 06:17,2022-01-04 06:22
서부,2022-01-04 16:52,2022-01-04 16:58
동부,2022-01-04 11:35,2022-01-04 11:37
서부,2022-01-04 04:01,2022-01-04 04:02
북부,2022-01-04 07:59,2022-01-04 08:02
서부,2022-01-04 16:07,2022-01-04 16:10
중부,2022-01-04 21:08,2022-01-04 21:14
중부,2022-01-04 18:58,2022-01-04 19:06
서부,2022-01-04 01:11,2022-01-04 01:12
북부,2022-01-04 03:58,2022-01-04 03:59
중부,2022-01-04 20:51,2022-01-04 21:00
서부,2022-01-04 06:19,2022-01-04 06:23
서부,2022-01-04 06:20,2022-01-04 06:23
남부,2022-01-04 06:27,2022-01-04 06:30
남부,2022-01-04 10:08,2022-01-04 10:11
남부,2022-01-04 03:42,2022-01-04 03:43
남부,2022-01-04 04:02,2022-01-04 04:05
남부,2022-01-04 17:57,2022-01-04 18:02
서부,2022-01-04 18:50,2022-01-04 18:57
서부,2022-01-04 18:14,2022-01-04 18:21
중부,2022-01-04 01:51,2022-01-04 01:53
동부,2022-01-04 19:29,2022-01-04 19:36
남부,2022-01-04 15:24,2022-01-04 15:28
북부,2022-01-04 05:18,2022-01-04 05:19
중부,2022-01-05 05:24,2022-01-05 05:25
동부,2022-01-05 18:51,2022-01-05 18:59
서부,2022-01-05 13:02,2022-01-05 13:05
중부,2022-01-05 17:17,2022-01-05 17:19
북부,2022-01-05 17:20,2022-01-05 17:25
서부,2022-01-05 06:21,2022-01-05 06:25
중부,2022-01-05 08:49,2022-01-05 08:53
중부,2022-01-05 02:23,2022-01-05 02:24
중부,2022-01-05 11:12,2022-01-05 11:16
중부,2022-01-05 13:42,2022-01-05 13:48
동부,2022-01-05 01:11,2022-01-05 01:12
동부,2022-01-05 21:45,2022-01-05 21:52
중부,2022-01-05 19:51,2022-01-05 20:00
서부,2022-01-05 21:13,2022-01-05 21:21
동부,2022-01-05 12:36,2022-01-05 12:40
동부,2022-01-05 12:03,2022-01-05 12:06
서부,2022-01-05 14:06,2022-01-05 14:10
남부,2022-01-05 03:32,2022-01-05 03:35
동부,2022-01-05 11:02,2022-01-05 11:05
동부,2022-01-05 08:53,2022-01-05 08:57
중부,2022-01-05 06:25,2022-01-05 06:29
서부,2022-01-05 14:14,2022-01-05 14:18
북부,2022-01-05 21:20,2022-01-05 21:27
서부,2022-01-05 10:39,2022-01-05 10:43
동부,2022-01-05 02:51,2022-01-05 02:52
서부,2022-01-05 04:19,2022-01-05 04:20
남부,2022-01-05 10:40,2022-01-05 10:42
북부,2022-01-05 19:24,2022-01-05 19:32
중부,2022-01-05 15:52,2022-01-05 15:57
중부,2022-01-05 08:43,2022-01-05 08:47
북부,2022-01-05 03:47,2022-01-05 03:49
동부,2022-01-05 05:22,2022-01-05 05:23
서부,2022-01-05 12:58,2022-01-05 13:02
중부,2022-01-05 13:11,2022-01-05 13:16
서부,2022-01-05 12:15,2022-01-05 12:19
동부,2022-01-05 14:14,2022-01-05 14:19
동부,2022-01-05 03:17,2022-01-05 03:18
남부,2022-01-05 08:21,2022-01-05 08:23
중부,2022-01-05 07:07,2022-01-05 07:13
동부,2022-01-05 13:17,2022-01-05 13:21
동부,2022-01-05 09:36,2022-01-05 09:39
남부,2022-01-05 03:36,2022-01-05 03:37
서부,2022-01-05 20:17,2022-01-05 20:23
남부,2022-01-05 15:21,2022-01-05 15:26
동부,2022-01-05 18:54,2022-01-05 19:01
서부,2022-01-05 13:04,2022-01-05 13:09
중부,2022-01-05 17:33,2022-01-05 17:38
북부,2022-01-05 14:49,2022-01-05 14:55
동부,2022-01-05 23:20,2022-01-05 23:28
서부,2022-01-05 22:03,2022-01-05 22:11
중부,2022-01-05 23:11,2022-01-05 23:19
중부,2022-01-05 08:55,2022-01-05 09:00
북부,2022-01-05 14:43,2022-01-05 14:47
북부,2022-01-05 03:08,2022-01-05 03:10
북부,2022-01-05 21:15,2022-01-05 21:22
북부,2022-01-05 12:35,2022-01-05 12:39
서부,2022-01-05 16:38,2022-01-05 16:42
서부,2022-01-05 08:52,2022-01-05 08:55
동부,2022-01-05 21:22,2022-01-05 21:30
중부,2022-01-05 08:57,2022-01-05 09:00
북부,2022-01-06 09:03,2022-01-06 09:06
남부,2022-01-06 06:55,2022-01-06 06:59
북부,2022-01-06 10:11,2022-01-06 10:14
서부,2022-01-06 12:55,2022-01-06 13:00
동부,2022-01-06 21:44,2022-01-06 21:52
서부,2022-01-06 09:08,2022-01-06 09:11
동부,2022-01-06 17:44,2022-01-06 17:50
동부,2022-01-06 09:17,2022-01-06 09:19
북부,2022-01-06 13:43,2022-01-06 13:47
북부,2022-01-06 08:23,2022-01-06 08:27
남부,2022-01-06 01:08,2022-01-06 01:11
서부,2022-01-06 07:22,2022-01-06 07:25
남부,2022-01-06 04:12,2022-01-06 04:14
남부,2022-01-06 14:03,2022-01-06 14:06
중부,2022-01-06 16:57,2022-01-06 17:02
중부,2022-01-06 12:31,2022-01-06 12:34
서부,2022-01-06 07:09,2022-01-06 07:12
서부,2022-01-06 20:46,2022-01-06 20:55
서부,2022-01-06 06:49,2022-01-06 06:53
북부,2022-01-06 05:08,2022-01-06 05:10
동부,2022-01-06 15:04,2022-01-06 15:08
북부,2022-01-06 22:57,2022-01-06 23:04
북부,2022-01-06 15:58,2022-01-06 16:02
서부,2022-01-06 05:03,2022-01-06 05:04
서부,2022-01-06 13:46,2022-01-06 13:49
서부,2022-01-06 06:06,2022-01-06 06:09
북부,2022-01-06 06:13,2022-01-06 06:15
남부,2022-01-06 13:02,2022-01-06 13:06
중부,2022-01-06 02:47,2022-01-06 02:48
북부,2022-01-06 19:38,2022-01-06 19:46
서부,2022-01-06 16:56,2022-01-06 17:00
남부,2022-01-06 13:11,2022-01-06 13:15
남부,2022-01-06 18:54,2022-01-06 19:04
북부,2022-01-06 07:29,2022-01-06 07:35
서부,2022-01-06 22:35,2022-01-06 22:41
남부,2022-01-06 13:57,2022-01-06 14:02
중부,2022-01-06 14:36,2022-01-06 14:40
남부,2022-01-06 15:31,2022-01-06 15:36
중부,2022-01-06 08:07,2022-01-06 08:10
남부,2022-01-06 14:36,2022-01-06 14:40
동부,2022-01-06 08:41,2022-01-06 08:44
중부,2022-01-06 03:02,2022-01-06 03:03
남부,2022-01-06 15:04,2022-01-06 15:09
서부,2022-01-06 05:37,2022-01-06 05:38
중부,2022-01-06 01:01,2022-01-06 01:02
북부,2022-01-06 21:05,2022-01-06 21:13
동부,2022-01-06 14:13,2022-01-06 14:17
서부,2022-01-06 01:53,2022-01-06 01:55
북부,2022-01-06 02:23,2022-01-06 02:25
남부,2022-01-06 13:49,2022-01-06 13:54
남부,2022-01-06 02:41,2022-01-06 02:44
북부,2022-01-06 01:11,2022-01-06 01:13
서부,2022-01-06 14:30,2022-01-06 14:36
남부,2022-01-06 15:02,2022-01-06 15:07
서부,2022-01-06 04:42,2022-01-06 04:43
북부,2022-01-06 20:35,2022-01-06 20:42
동부,2022-01-06 04:59,2022-01-06 05:02
북부,2022-01-06 21:20,2022-01-06 21:28
중부,2022-01-06 09:11,2022-01-06 09:14
동부,2022-01-06 22:00,2022-01-06 22:07
서부,2022-01-07 03:55,2022-01-07 03:57
남부,2022-01-07 09:39,2022-01-07 09:44
서부,2022-01-07 18:36,2022-01-07 18:44
중부,2022-01-07 20:09,2022-01-07 20:15
남부,2022-01-07 12:24,2022-01-07 12:27
남부,2022-01-07 09:13,2022-01-07 09:16
중부,2022-01-07 13:40,2022-01-07 13:44
북부,2022-01-07 19:36,2022-01-07 19:44
서부,2022-01-07 20:57,2022-01-07 21:04
북부,2022-01-07 01:20,2022-01-07 01:21
북부,2022-01-07 17:28,2022-01-07 17:32
동부,2022-01-07 13:39,2022-01-07 13:44
중부,2022-01-07 20:36,2022-01-07 20:43
서부,2022-01-07 03:01,2022-01-07 03:04
북부,2022-01-07 01:50,2022-01-07 01:51
남부,2022-01-07 07:08,2022-01-07 07:12
중부,2022-01-07 10:07,2022-01-07 10:10
동부,2022-01-07 18:10,2022-01-07 18:16
동부,2022-01-07 13:42,2022-01-07 13:45
남부,2022-01-07 01:49,2022-01-07 01:50
동부,2022-01-07 09:07,2022-01-07 09:11
동부,2022-01-07 00:51,2022-01-07 00:52
서부,2022-01-07 04:28,2022-01-07 04:29
동부,2022-01-07 22:02,2022-01-07 22:10
남부,2022-01-07 05:30,2022-01-07 05:32
동부,2022-01-07 05:31,2022-01-07 05:33
동부,2022-01-07 13:53,2022-01-07 13:58
남부,2022-01-07 09:40,2022-01-07 09:43
중부,2022-01-07 07:28,2022-01-07 07:31
중부,2022-01-07 19:58,2022-01-07 20:06
북부,2022-01-07 10:53,2022-01-07 10:54
서부,2022-01-07 19:57,2022-01-07 20:06
서부,2022-01-07 15:57,2022-01-07 16:01
동부,2022-01-07 08:07,2022-01-07 08:10
북부,2022-01-07 08:20,2022-01-07 08:23
동부,2022-01-07 09:09,2022-01-07 09:10
서부,2022-01-07 16:29,2022-01-07 16:31
남부,2022-01-07 16:22,2022-01-07 16:27
북부,2022-01-07 12:27,2022-01-07 12:33
중부,2022-01-07 07:04,2022-01-07 07:06
북부,2022-01-07 17:07,2022-01-07 17:13
남부,2022-01-07 09:47,2022-01-07 09:51
중부,2022-01-07 23:33,2022-01-07 23:40
북부,2022-01-07 10:58,2022-01-07 11:02
북부,2022-01-07 18:03,2022-01-07 18:10
서부,2022-01-07 09:44,2022-01-07 09:48
동부,2022-01-07 02:23,2022-01-07 02:24
북부,2022-01-07 20:28,2022-01-07 20:35
북부,2022-01-07 21:09,2022-01-07 21:17
남부,2022-01-07 02:31,2022-01-07 02:32
남부,2022-01-07 15:47,2022-01-07 15:51
동부,2022-01-07 12:52,2022-01-07 12:57
동부,2022-01-07 10:02,2022-01-07 10:06
중부,2022-01-07 23:34,2022-01-07 23:42
서부,2022-01-07 15:21,2022-01-07 15:27
중부,2022-01-07 09:03,2022-01-07 09:06
남부,2022-01-07 03:50,2022-01-07 03:52
북부,2022-01-07 14:25,2022-01-07 14:30
동부,2022-01-07 17:02,2022-01-07 17:09
동부,2022-01-07 12:53,2022-01-07 12:58
북부,2022-01-08 00:07,2022-01-08 00:08
북부,2022-01-08 19:06,2022-01-08 19:15
중부,2022-01-08 03:04,2022-01-08 03:06
동부,2022-01-08 03:08,2022-01-08 03:09
중부,2022-01-08 13:17,2022-01-08 13:21
북부,2022-01-08 16:17,2022-01-08 16:22
동부,2022-01-08 13:39,2022-01-08 13:43
남부,2022-01-08 17:36,2022-01-08 17:41
남부,2022-01-08 22:31,2022-01-08 22:37
남부,2022-01-08 21:20,2022-01-08 21:28
서부,2022-01-08 22:13,2022-01-08 22:21
북부,2022-01-08 22:55,2022-01-08 23:01
동부,2022-01-08 05:40,2022-01-08 05:41
남부,2022-01-08 03:42,2022-01-08 03:44
동부,2022-01-08 21:44,2022-01-08 21:53
중부,2022-01-08 20:55,2022-01-08 21:04
서부,2022-01-08 01:05,2022-01-08 01:07
동부,2022-01-08 03:16,2022-01-08 03:17
서부,2022-01-08 06:28,2022-01-08 06:31
남부,2022-01-08 18:27,2022-01-08 18:34
남부,2022-01-08 04:26,2022-01-08 04:27
서부,2022-01-08 01:42,2022-01-08 01:43
남부,2022-01-08 16:46,2022-01-08 16:50
중부,2022-01-08 03:48,2022-01-08 03:50
남부,2022-01-08 14:07,2022-01-08 14:11
남부,2022-01-08 10:46,2022-01-08 10:50
중부,2022-01-08 18:43,2022-01-08 18:50
서부,2022-01-08 01:21,2022-01-08 01:22
북부,2022-01-08 08:05,2022-01-08 08:09
동부,2022-01-08 14:46,2022-01-08 14:51
중부,2022-01-08 12:16,2022-01-08 12:21
서부,2022-01-08 01:57,2022-01-08 02:00
서부,2022-01-08 11:06,2022-01-08 11:08
서부,2022-01-08 15:34,2022-01-08 15:39
서부,2022-01-08 17:56,2022-01-08 18:02
중부,2022-01-08 04:00,2022-01-08 04:02
서부,2022-01-08 00:43,2022-01-08 00:44
중부,2022-01-08 20:08,2022-01-08 20:15
남부,2022-01-08 05:46,2022-01-08 05:48
남부,2022-01-08 07:22,2022-01-08 07:26
중부,2022-01-08 22:17,2022-01-08 22:23
북부,2022-01-08 22:16,2022-01-08 22:24
북부,2022-01-08 13:37,2022-01-08 13:41
서부,2022-01-08 22:48,2022-01-08 22:55
서부,2022-01-08 11:01,2022-01-08 11:04
남부,2022-01-08 11:38,2022-01-08 11:41
중부,2022-01-08 20:30,2022-01-08 20:37
중부,2022-01-08 11:04,2022-01-08 11:06
동부,2022-01-08 08:23,2022-01-08 08:27
서부,2022-01-08 13:36,2022-01-08 13:41
남부,2022-01-08 16:36,2022-01-08 16:40
동부,2022-01-08 21:12,2022-01-08 21:19
동부,2022-01-08 14:56,2022-01-08 15:01
서부,2022-01-08 07:25,2022-01-08 07:28
동부,2022-01-08 02:03,2022-01-08 02:04
동부,2022-01-08 19:46,2022-01-08 19:55
서부,2022-01-08 10:10,2022-01-08 10:15
중부,2022-01-08 22:27,2022-01-08 22:34
동부,2022-01-08 08:46,2022-01-08 08:47
북부,2022-01-08 10:56,2022-01-08 10:58
중부,2022-01-09 10:35,2022-01-09 10:38
동부,2022-01-09 07:47,2022-01-09 07:51
남부,2022-01-09 18:07,2022-01-09 18:16
서부,2022-01-09 21:37,2022-01-09 21:47
북부,2022-01-09 08:04,2022-01-09 08:07
중부,2022-01-09 04:38,2022-01-09 04:41
중부,2022-01-09 11:35,2022-01-09 11:38
북부,2022-01-09 19:38,2022-01-09 19:45
북부,2022-01-09 02:10,2022-01-09 02:11
남부,2022-01-09 21:48,2022-01-09 21:55
남부,2022-01-09 07:06,2022-01-09 07:10
동부,2022-01-09 19:08,2022-01-09 19:16
서부,2022-01-09 10:50,2022-01-09 10:54
동부,2022-01-09 11:58,2022-01-09 12:04
중부,2022-01-09 03:51,2022-01-09 03:52
중부,2022-01-09 19:14,2022-01-09 19:21
북부,2022-01-09 02:30,2022-01-09 02:31
서부,2022-01-09 08:33,2022-01-09 08:36
북부,2022-01-09 14:30,2022-01-09 14:36
남부,2022-01-09 07:48,2022-01-09 07:53
북부,2022-01-09 02:31,2022-01-09 02:33
서부,2022-01-09 05:04,2022-01-09 05:06
서부,2022-01-09 10:07,2022-01-09 10:11
중부,2022-01-09 01:10,2022-01-09 01:13
중부,2022-01-09 22:25,2022-01-09 22:34
동부,2022-01-09 21:33,2022-01-09 21:40
남부,2022-01-09 03:37,2022-01-09 03:39
서부,2022-01-09 22:17,2022-01-09 22:25
동부,2022-01-09 06:41,2022-01-09 06:45
중부,2022-01-09 23:20,2022-01-09 23:28
서부,2022-01-09 03:32,2022-01-09 03:34
남부,2022-01-09 19:11,2022-01-09 19:18
북부,2022-01-09 01:09,2022-01-09 01:10
동부,2022-01-09 09:38,2022-01-09 09:41
서부,2022-01-09 05:22,2022-01-09 05:24
동부,2022-01-09 02:21,2022-01-09 02:26
서부,2022-01-09 23:56,2022-01-10 00:02
남부,2022-01-09 16:14,2022-01-09 16:20
북부,2022-01-09 02:29,2022-01-09 02:30
남부,2022-01-09 20:39,2022-01-09 20:46
남부,2022-01-09 17:21,2022-01-09 17:26
서부,2022-01-09 17:30,2022-01-09 17:33
중부,2022-01-09 05:07,2022-01-09 05:08
동부,2022-01-09 17:30,2022-01-09 17:35
동부,2022-01-09 09:11,2022-01-09 09:15
남부,2022-01-09 13:47,2022-01-09 13:51
서부,2022-01-09 16:01,2022-01-09 16:04
남부,2022-01-09 02:03,2022-01-09 02:06
북부,2022-01-09 05:53,2022-01-09 05:55
남부,2022-01-09 13:11,2022-01-09 13:17
중부,2022-01-09 22:15,2022-01-09 22:23
서부,2022-01-09 05:09,2022-01-09 05:10
동부,2022-01-09 11:39,2022-01-09 11:42
중부,2022-01-09 16:38,2022-01-09 16:41
중부,2022-01-09 06:47,2022-01-09 06:51
북부,2022-01-09 23:49,2022-01-09 23:54
동부,2022-01-09 16:56,2022-01-09 17:01
서부,2022-01-09 20:06,2022-01-09 20:13
동부,2022-01-09 18:41,2022-01-09 18:50
북부,2022-01-09 09:02,2022-01-09 09:04
중부,2022-01-10 18:21,2022-01-10 18:29
남부,2022-01-10 07:40,2022-01-10 07:42
중부,2022-01-10 17:08,2022-01-10 17:11
동부,2022-01-10 06:33,2022-01-10 06:35
중부,2022-01-10 10:02,2022-01-10 10:06
남부,2022-01-10 13:43,2022-01-10 13:46
동부,2022-01-10 20:25,2022-01-10 20:33
중부,2022-01-10 18:56,2022-01-10 19:04
남부,2022-01-10 11:22,2022-01-10 11:25
서부,2022-01-10 02:58,2022-01-10 03:00
동부,2022-01-10 09:29,2022-01-10 09:33
남부,2022-01-10 03:20,2022-01-10 03:22
서부,2022-01-10 23:46,2022-01-10 23:53
남부,2022-01-10 07:08,2022-01-10 07:10
중부,2022-01-10 06:03,2022-01-10 06:07
서부,2022-01-10 03:21,2022-01-10 03:23
서부,2022-01-10 18:51,2022-01-10 18:58
북부,2022-01-10 03:01,2022-01-10 03:02
