Year,Gender,Region_Code,Salary,Bonus
2019,M,104,4999,80
2019,M,104,2698,112
2019,F,101,2001,641
2019,F,101,4267,565
2019,F,101,2854,996
2019,F,101,3759,224
2019,F,101,4432,402
2019,F,101,3661,129
2019,F,101,3076,683
2019,F,101,4777,671
2019,F,101,3733,415
2019,F,101,4294,835
2019,F,102,2202,183
2019,F,102,2122,400
2019,F,102,2766,293
2019,F,102,4327,836
2019,F,102,4931,609
2019,F,102,2197,981
2019,F,102,3930,510
2019,F,102,4799,143
2019,F,102,2608,200
2019,F,102,3147,186
2019,F,103,4511,348
2019,F,103,3794,659
2019,F,103,4811,954
2019,F,103,3955,402
2019,F,103,3369,962
2019,F,103,3534,146
2019,F,103,4911,710
2019,F,103,3843,488
2019,F,103,4976,935
2019,F,103,3663,550
2019,F,104,4385,871
2019,F,104,2640,778
2019,F,104,4520,945
2019,F,104,4198,414
2019,F,104,3634,262
2019,F,104,3787,143
2019,F,104,4393,623
2019,F,104,3016,571
2019,F,104,2880,1
2019,F,104,4944,303
2020,M,101,4301,651
2020,M,101,2452,36
2020,M,101,3183,8
2020,M,101,3682,815
2020,M,101,4255,130
2020,M,101,2403,151
2020,M,101,4101,119
2020,M,101,3696,919
2020,M,101,2627,586
2020,M,101,3648,967
2020,M,102,3443,421
2020,M,102,2103,851
2020,M,102,2253,226
2020,M,102,4557,472
2020,M,102,2098,152
2020,M,102,3884,913
2020,M,102,3919,877
2020,M,102,2337,705
2020,M,102,4869,162
2020,M,102,2956,680
2020,M,103,2160,579
2020,M,103,4848,397
2020,M,103,3300,815
2020,M,103,3527,895
2020,M,103,3415,134
2020,M,103,3218,400
2020,M,103,2639,32
2020,M,103,4735,459
2020,M,103,2954,882
2020,M,103,2469,374
2020,M,104,3045,749
2020,M,104,3693,37
2020,M,104,4277,364
2020,M,104,2562,437
2020,M,104,3799,282
2020,M,104,4074,225
2020,M,104,2797,608
2020,M,104,4331,878
2020,M,104,2959,480
2020,M,104,2452,828
2020,F,101,2815,658
2020,F,101,2546,191
2020,F,101,2016,171
2020,F,101,3243,157
2020,F,101,4524,45
2020,F,101,4565,98
2020,F,101,3768,36
2020,F,101,4327,348
2020,F,101,4544,301
2020,F,101,2180,606
2020,F,102,2699,992
2020,F,102,3139,190
2020,F,102,4300,980
2020,F,102,4975,982
2020,F,102,3184,255
2020,F,102,2127,17
2020,F,102,3816,734
2020,F,102,4613,569
2020,F,102,3346,871
2020,F,102,4733,791
2020,F,103,2625,287
2020,F,103,4901,662
2020,F,103,2154,489
2020,F,103,3409,985
2020,F,103,2784,103
2020,F,103,2245,175
2020,F,103,3500,681
2020,F,103,4806,537
2020,F,103,3890,817
2020,F,103,2920,407
2020,F,104,2524,827
2020,F,104,3529,902
2020,F,104,2035,684
2020,F,104,2019,320
2020,F,104,4559,399
2020,F,104,4701,971
2020,F,104,3906,470
2020,F,104,3166,91
2020,F,104,2833,799
2020,F,104,4774,958
2021,M,101,2853,50
2021,M,101,2574,189
2021,M,101,3148,149
2021,M,101,4361,569
2021,M,101,4352,691
2021,M,101,2681,837
2021,M,101,3077,443
2021,M,101,4660,992
2021,M,101,4311,52
2021,M,101,3595,619
2021,M,102,2004,102
2021,M,102,3219,773
2021,M,102,2876,991
2021,M,102,4931,349
2021,M,102,2046,866
2021,M,102,4870,935
2021,M,102,4703,268
2021,M,102,2369,635
2021,M,102,3129,669
2021,M,102,3682,656
2021,M,103,2119,830
2021,M,103,3810,603
2021,M,103,3081,950
2021,M,103,3369,740
2021,M,103,2116,829
2021,M,103,4838,126
2021,M,103,3931,640
2021,M,103,3081,633
2021,M,103,2512,750
2021,M,103,4849,95
2021,M,104,3141,559
2021,M,104,2487,236
2021,M,104,2896,271
2021,M,104,3212,998
2021,M,104,2703,446
2021,M,104,2580,789
2021,M,104,4908,246
2021,M,104,2153,655
2021,M,104,2996,85
2021,M,104,4744,284
2021,F,101,3243,68
2021,F,101,3008,93
2021,F,101,3773,957
2021,F,101,2452,203
2021,F,101,4959,217
2021,F,101,4521,431
2021,F,101,4388,550
2021,F,101,3635,288
2021,F,101,3757,356
2021,F,101,4070,761
2021,F,102,4569,757
2021,F,102,4849,179
2021,F,102,4809,658
2021,F,102,4489,607
2021,F,102,4816,324
2021,F,102,2515,15
2021,F,102,4839,335
2021,F,102,3782,257
2021,F,102,2496,987
2021,F,102,2895,159
2021,F,103,2851,663
2021,F,103,3931,689
2021,F,103,4427,544
2021,F,103,2956,690
2021,F,103,3636,267
2021,F,103,3440,167
2021,F,103,3066,555
2021,F,103,2284,396
2021,F,103,2011,606
2021,F,103,4546,753
2021,F,104,4082,726
2021,F,104,4896,89
2021,F,104,2775,604
2021,F,104,3625,417
2021,F,104,2114,616
2021,F,104,2825,500
2021,F,104,3649,492
2021,F,104,2412,375
2021,F,104,2728,276
2021,F,104,4808,675
2022,M,101,3892,456
2022,M,101,4967,191
2022,M,101,4786,688
2022,M,101,3122,547
2022,M,101,2977,998
2022,M,101,4143,663
2022,M,101,4710,189
2022,M,101,2036,779
2022,M,101,3548,278
2022,M,101,4264,866
2022,M,102,2872,797
2022,M,102,3296,880
2022,M,102,4109,595
2022,M,102,3903,728
2022,M,102,3365,396
2022,M,102,2698,18
2022,M,102,4224,611
2022,M,102,2395,444
2022,M,102,2075,264
2022,M,102,4502,795
2022,M,103,2717,734
2022,M,103,2850,505
2022,M,103,3390,143
2022,M,103,2884,68
2022,M,103,2395,24
2022,M,103,4995,890
2022,M,103,3492,483
2022,M,103,3167,568
2022,M,103,3062,108
2022,M,103,3065,185
2022,M,104,4982,397
2022,M,104,2633,132
2022,M,104,3238,732
2022,M,104,2234,842
2022,M,104,4705,750
2022,M,104,4635,8
2022,M,104,2953,491
2022,M,104,4960,252
2022,M,104,3542,173
2022,M,104,3676,167
2022,F,101,4217,392
2022,F,101,4993,794
2022,F,101,4681,193
2022,F,101,3540,28
2022,F,101,3445,338
2022,F,101,3519,364
2022,F,101,3856,341
2022,F,101,2499,656
2022,F,101,2510,326
2022,F,101,2216,300
2022,F,102,3155,803
2022,F,102,3810,444
2022,F,102,4923,181
2022,F,102,4214,90
2022,F,102,2713,857
2022,F,102,2038,125
2022,F,102,2172,652
2022,F,102,2753,219
2022,F,102,3081,659
2022,F,102,4523,455
2022,F,103,2828,894
2022,F,103,3384,934
2022,F,103,4434,972
2022,F,103,4395,189
2022,F,103,2504,190
2022,F,103,3531,368
2022,F,103,2823,928
2022,F,103,2933,116
2022,F,103,2133,57
2022,F,103,2684,671
2022,F,104,4220,828
2022,F,104,2814,148
2022,F,104,2079,885
2022,F,104,2202,763
2022,F,104,3252,675
2022,F,104,3250,658
2022,F,104,3555,440
2022,F,104,4094,232
2022,F,104,3549,142
2022,F,104,3396,565
2023,M,101,4703,470
2023,M,101,3035,329
2023,M,101,4783,783
2023,M,101,2967,357
2023,M,101,2667,372
2023,M,101,3031,121
2023,M,101,3371,675
2023,M,101,2089,647
2023,M,101,4745,315
2023,M,101,2539,731
2023,M,102,2868,40
2023,M,102,2739,703
2023,M,102,3946,501
2023,M,102,3224,928
2023,M,102,4036,723
2023,M,102,4508,731
2023,M,102,4799,924
2023,M,102,4956,557
2023,M,102,2389,593
2023,M,102,4930,255
2023,M,103,2708,814
2023,M,103,3944,449
2023,M,103,2009,823
2023,M,103,2797,241
2023,M,103,2876,4
2023,M,103,3015,800
2023,M,103,2373,64
2023,M,103,4193,223
2023,M,103,3262,176
2023,M,103,3802,852
2023,M,104,2062,216
2023,M,104,4874,794
2023,M,104,2688,460
2023,M,104,3633,104
2023,M,104,2510,384
2023,M,104,2404,822
2023,M,104,2517,475
2023,M,104,4000,708
2023,M,104,3668,869
2023,M,104,4818,436
2023,F,101,4724,713
2023,F,101,2082,144
2023,F,101,4504,877
2023,F,101,4048,50
2023,F,101,2684,716
2023,F,101,3469,448
2023,F,101,2880,487
2023,F,101,3823,33
2023,F,101,4142,71
2023,F,101,3574,153
2023,F,102,2249,673
2023,F,102,2437,117
2023,F,102,2770,890
2023,F,102,2267,960
2023,F,102,3077,235
2023,F,102,2388,989
2023,F,102,2762,824
2023,F,102,4448,623
2023,F,102,4814,302
2023,F,102,4966,206
2023,F,103,3252,852
2023,F,103,2577,74
2023,F,103,2434,102
2023,F,103,2763,737
2023,F,103,4853,305
2023,F,103,4145,849
2023,F,103,4845,334
2023,F,103,4906,434
2023,F,103,2446,993
2023,F,103,3331,248
2023,F,104,2165,480
2023,F,104,3358,541
2023,F,104,2758,105
2023,F,104,4128,132
2023,F,104,2796,899
2023,F,104,2137,183
2023,F,104,3353,784
2023,F,104,3875,983
2023,F,104,2068,545
2023,F,104,4100,449
