Date,Road_Code,Vehicle_Type,Car_Count,Truck_Count
2023-01-11,202,Car,342,80
2023-01-11,202,Truck,139,278
2023-01-11,203,Car,647,457
2023-01-11,203,Truck,322,55
2023-01-11,204,Car,421,269
2023-01-11,204,Truck,174,53
2023-01-12,201,Car,946,183
2023-01-12,201,Truck,217,418
2023-01-12,202,Car,705,484
2023-01-12,202,Truck,673,490
2023-01-12,203,Car,293,384
2023-01-12,203,Truck,814,441
2023-01-12,204,Car,125,484
2023-01-12,204,Truck,272,349
2023-01-13,201,Car,744,375
2023-01-13,201,Truck,509,167
2023-01-13,202,Car,935,324
2023-01-13,202,Truck,823,274
2023-01-13,203,Car,631,162
2023-01-13,203,Truck,239,96
2023-01-13,204,Car,100,139
2023-01-13,204,Truck,753,369
2023-01-14,201,Car,649,342
2023-01-14,201,Truck,993,188
2023-01-14,202,Car,610,405
2023-01-14,202,Truck,944,308
2023-01-14,203,Car,772,439
2023-01-14,203,Truck,789,59
2023-01-14,204,Car,360,456
2023-01-14,204,Truck,749,221
2023-01-15,201,Car,997,62
2023-01-15,201,Truck,267,179
2023-01-15,202,Car,695,370
2023-01-15,202,Truck,418,150
2023-01-15,203,Car,428,322
2023-01-15,203,Truck,876,448
2023-01-15,204,Car,649,468
2023-01-15,204,Truck,705,144
2023-01-16,201,Car,916,118
2023-01-16,201,Truck,417,493
2023-01-16,202,Car,335,483
2023-01-16,202,Truck,433,422
2023-01-16,203,Car,475,186
2023-01-16,203,Truck,687,84
2023-01-16,204,Car,612,345
2023-01-16,204,Truck,419,455
2023-01-17,201,Car,671,369
2023-01-17,201,Truck,448,377
2023-01-17,202,Car,878,410
2023-01-17,202,Truck,328,319
2023-01-17,203,Car,927,335
2023-01-17,203,Truck,390,262
2023-01-17,204,Car,264,54
2023-01-17,204,Truck,950,428
2023-01-18,201,Car,177,459
2023-01-18,201,Truck,673,181
2023-01-18,202,Car,700,286
2023-01-18,202,Truck,141,138
2023-01-18,203,Car,501,345
2023-01-18,203,Truck,939,344
2023-01-18,204,Car,715,63
2023-01-18,204,Truck,899,228
2023-01-19,201,Car,736,471
2023-01-19,201,Truck,964,72
2023-01-19,202,Car,674,192
2023-01-19,202,Truck,764,194
2023-01-19,203,Car,324,499
2023-01-19,203,Truck,920,153
2023-01-19,204,Car,203,484
2023-01-19,204,Truck,138,484
2023-01-20,201,Car,297,183
2023-01-20,201,Truck,678,440
2023-01-20,202,Car,278,91
2023-01-20,202,Truck,547,64
2023-01-20,203,Car,722,206
2023-01-20,203,Truck,388,280
2023-01-20,204,Car,519,206
2023-01-20,204,Truck,649,490
2023-01-21,201,Car,196,460
2023-01-21,201,Truck,388,303
2023-01-21,202,Car,295,135
2023-01-21,202,Truck,933,59
2023-01-21,203,Car,616,172
2023-01-21,203,Truck,941,402
2023-01-21,204,Car,217,343
2023-01-21,204,Truck,258,352
2023-01-22,201,Car,327,414
2023-01-22,201,Truck,315,485
2023-01-22,202,Car,795,64
2023-01-22,202,Truck,256,185
2023-01-22,203,Car,360,206
2023-01-22,203,Truck,146,373
2023-01-22,204,Car,943,222
2023-01-22,204,Truck,229,460
2023-01-23,201,Car,194,164
2023-01-23,201,Truck,854,469
2023-01-23,202,Car,391,331
2023-01-23,202,Truck,910,332
2023-01-23,203,Car,168,197
2023-01-23,203,Truck,110,303
2023-01-23,204,Car,941,409
2023-01-23,204,Truck,649,183
2023-01-24,201,Car,811,72
2023-01-24,201,Truck,914,395
2023-01-24,202,Car,401,412
2023-01-24,202,Truck,495,267
2023-01-24,203,Car,240,153
2023-01-24,203,Truck,309,160
2023-01-24,204,Car,715,365
2023-01-24,204,Truck,782,405
2023-01-25,201,Car,423,182
2023-01-25,201,Truck,987,342
2023-01-25,202,Car,939,176
2023-01-25,202,Truck,205,141
2023-01-25,203,Car,898,427
2023-01-25,203,Truck,150,78
2023-01-25,204,Car,561,345
2023-01-25,204,Truck,396,263
2023-01-26,201,Car,878,456
2023-01-26,201,Truck,868,351
2023-01-26,202,Car,712,454
2023-01-26,202,Truck,445,159
2023-01-26,203,Car,519,231
2023-01-26,203,Truck,924,50
2023-01-26,204,Car,930,487
2023-01-26,204,Truck,666,420
2023-01-27,201,Car,760,480
2023-01-27,201,Truck,408,186
2023-01-27,202,Car,301,485
2023-01-27,202,Truck,412,166
2023-01-27,203,Car,765,474
2023-01-27,203,Truck,902,112
2023-01-27,204,Car,343,74
2023-01-27,204,Truck,701,124
2023-01-28,201,Car,905,435
2023-01-28,201,Truck,309,467
2023-01-28,202,Car,446,66
2023-01-28,202,Truck,739,476
2023-01-28,203,Car,975,300
2023-01-28,203,Truck,278,231
2023-01-28,204,Car,763,74
2023-01-28,204,Truck,279,247
2023-01-29,201,Car,600,393
2023-01-29,201,Truck,260,226
2023-01-29,202,Car,384,112
2023-01-29,202,Truck,761,203
2023-01-29,203,Car,255,419
2023-01-29,203,Truck,568,98
2023-01-29,204,Car,948,133
2023-01-29,204,Truck,460,226
2023-01-30,201,Car,247,167
2023-01-30,201,Truck,441,112
2023-01-30,202,Car,800,409
2023-01-30,202,Truck,660,376
2023-01-30,203,Car,868,273
2023-01-30,203,Truck,240,264
2023-01-30,204,Car,534,428
2023-01-30,204,Truck,822,367
2023-01-31,201,Car,131,207
2023-01-31,201,Truck,384,354
2023-01-31,202,Car,528,335
2023-01-31,202,Truck,243,473
2023-01-31,203,Car,118,67
2023-01-31,203,Truck,868,127
2023-01-31,204,Car,470,224
2023-01-31,204,Truck,293,162
