start_datetime,event,value,end_datetime
2020-04-03 04:57:28,Idle,65.5,2020-04-03 05:05:27
2020-04-04 02:56:02,Start,87.47,2020-04-04 03:04:23
2020-04-04 22:30:37,Run,41.16,2020-04-04 22:39:52
2020-04-05 22:21:55,Stop,68.84,2020-04-05 22:23:18
2020-04-08 09:06:10,Start,41.52,2020-04-08 09:08:58
2020-04-11 19:20:15,Run,65.55,2020-04-11 19:29:36
2020-04-12 02:23:57,Start,89.63,2020-04-12 02:25:21
2020-04-12 05:00:52,Idle,30.82,2020-04-12 05:04:58
2020-04-12 19:55:27,Alert,46.38,2020-04-12 20:01:14
2020-04-17 22:06:31,Start,99.39,2020-04-17 22:13:08
2020-04-18 14:16:26,Stop,88.17,2020-04-18 14:18:02
2020-04-18 21:04:22,Measure,60.82,2020-04-18 21:07:38
2020-04-19 08:46:08,Run,56.5,2020-04-19 08:55:35
2020-04-19 15:21:57,Start,35.61,2020-04-19 15:26:43
2020-04-19 20:56:29,Start,56.55,2020-04-19 21:02:48
2020-04-20 08:02:25,Stop,86.34,2020-04-20 08:06:26
2020-04-21 20:26:41,Alert,71.67,2020-04-21 20:29:06
2020-04-24 22:14:05,Start,36.1,2020-04-24 22:22:51
2020-04-25 14:49:09,Start,28.13,2020-04-25 14:51:01
2020-04-25 18:31:47,Alert,33.87,2020-04-25 18:36:41
2020-04-25 22:07:47,Stop,25.28,2020-04-25 22:15:59
2020-04-27 18:53:48,Run,18.61,2020-04-27 19:03:03
2020-04-29 04:47:05,Run,47.72,2020-04-29 04:49:44
2020-04-29 08:23:45,Start,20.2,2020-04-29 08:31:27
2020-04-29 20:51:15,Alert,25.47,2020-04-29 20:58:50
2020-04-30 05:19:15,Start,59.26,2020-04-30 05:29:01
2020-04-30 15:51:51,Measure,24.81,2020-04-30 15:59:45
2020-05-01 02:25:28,Run,15.75,2020-05-01 02:34:10
2020-05-02 16:00:29,Idle,38.56,2020-05-02 16:07:32
2020-05-02 16:50:17,Measure,29.83,2020-05-02 16:53:26
2020-05-03 13:32:07,Start,56.38,2020-05-03 13:34:30
2020-05-03 17:07:57,Stop,19.21,2020-05-03 17:13:27
2020-05-03 19:43:36,Run,77.66,2020-05-03 19:48:39
2020-05-04 18:59:33,Idle,91.56,2020-05-04 19:07:00
2020-05-07 03:52:21,Measure,76.91,2020-05-07 03:56:54
2020-05-11 12:50:38,Run,57.95,2020-05-11 12:54:23
2020-05-13 09:10:17,Alert,87.46,2020-05-13 09:12:15
2020-05-15 06:02:42,Stop,72.54,2020-05-15 06:12:05
2020-05-16 04:16:28,Measure,10.95,2020-05-16 04:19:30
2020-05-17 22:17:22,Alert,45.47,2020-05-17 22:25:14
2020-05-18 00:17:35,Start,86.59,2020-05-18 00:20:53
2020-05-19 02:40:31,Alert,41.13,2020-05-19 02:45:19
2020-05-19 14:59:10,Measure,13.17,2020-05-19 15:04:43
2020-05-21 03:18:49,Measure,77.16,2020-05-21 03:27:07
2020-05-22 01:52:00,Start,82.18,2020-05-22 01:54:57
2020-05-23 21:40:38,Alert,24.45,2020-05-23 21:49:40
2020-05-24 10:39:41,Alert,58.36,2020-05-24 10:47:15
2020-05-25 03:39:35,Start,27.28,2020-05-25 03:48:14
2020-05-25 09:58:46,Alert,74.73,2020-05-25 10:01:03
2020-05-26 22:51:28,Run,34.44,2020-05-26 22:59:19
2020-05-29 07:51:05,Start,38.46,2020-05-29 07:53:19
2020-05-30 10:33:37,Stop,86.05,2020-05-30 10:39:31
2020-05-30 17:17:50,Measure,52.87,2020-05-30 17:19:10
2020-06-01 18:51:14,Stop,70.28,2020-06-01 18:55:04
2020-06-03 03:21:55,Run,46.21,2020-06-03 03:23:09
2020-06-03 14:10:32,Run,36.82,2020-06-03 14:15:02
2020-06-04 01:44:35,Idle,66.29,2020-06-04 01:47:00
2020-06-04 21:21:39,Idle,23.94,2020-06-04 21:25:07
2020-06-04 22:51:24,Idle,43.57,2020-06-04 22:58:35
2020-06-06 02:50:56,Start,28.81,2020-06-06 02:59:55
2020-06-06 17:29:35,Alert,72.62,2020-06-06 17:33:05
2020-06-07 11:38:10,Run,94.98,2020-06-07 11:41:30
2020-06-07 16:20:25,Stop,99.6,2020-06-07 16:22:33
2020-06-10 07:22:10,Stop,50.52,2020-06-10 07:27:29
2020-06-10 20:32:22,Stop,32.73,2020-06-10 20:42:02
2020-06-11 12:33:28,Stop,49.85,2020-06-11 12:40:38
2020-06-11 17:01:11,Idle,86.25,2020-06-11 17:09:09
2020-06-12 03:02:44,Stop,28.54,2020-06-12 03:05:24
2020-06-12 14:46:45,Alert,95.69,2020-06-12 14:51:47
2020-06-13 15:04:47,Idle,40.77,2020-06-13 15:14:18
2020-06-14 07:54:10,Stop,98.72,2020-06-14 07:56:44
2020-06-15 13:22:34,Start,85.47,2020-06-15 13:27:19
2020-06-16 18:24:34,Measure,82.77,2020-06-16 18:34:11
2020-06-17 00:41:42,Measure,38.61,2020-06-17 00:46:15
2020-06-19 03:26:27,Measure,10.79,2020-06-19 03:28:33
2020-06-20 00:24:14,Idle,44.39,2020-06-20 00:31:49
2020-06-21 14:23:04,Stop,37.16,2020-06-21 14:24:15
2020-06-23 23:08:46,Run,13.37,2020-06-23 23:13:42
2020-06-25 02:16:26,Run,55.48,2020-06-25 02:24:04
2020-06-25 09:14:27,Run,46.27,2020-06-25 09:22:13
2020-06-25 18:15:18,Idle,67.11,2020-06-25 18:24:17
2020-06-26 13:08:30,Alert,65.91,2020-06-26 13:13:11
2020-06-27 04:01:15,Start,20.87,2020-06-27 04:04:50
2020-06-29 13:14:51,Start,97.93,2020-06-29 13:22:58
2020-06-29 17:23:34,Measure,26.82,2020-06-29 17:27:11
2020-07-01 00:24:19,Measure,50.07,2020-07-01 00:32:14
2020-07-01 04:44:33,Run,53.93,2020-07-01 04:50:58
2020-07-02 09:26:27,Run,83.18,2020-07-02 09:33:37
2020-07-03 16:10:43,Measure,18.93,2020-07-03 16:17:26
2020-07-04 14:55:06,Stop,48.58,2020-07-04 15:00:27
2020-07-06 08:21:02,Alert,66.57,2020-07-06 08:26:44
2020-07-06 08:53:48,Alert,29.36,2020-07-06 08:58:36
2020-07-11 06:48:31,Alert,66.47,2020-07-11 06:54:10
2020-07-12 23:39:54,Alert,93.13,2020-07-12 23:45:43
2020-07-14 03:59:42,Measure,99.78,2020-07-14 04:01:28
2020-07-14 17:56:26,Start,12.92,2020-07-14 18:00:59
2020-07-16 15:04:59,Measure,31.2,2020-07-16 15:06:22
2020-07-19 11:27:22,Alert,37.93,2020-07-19 11:33:42
2020-07-19 20:28:51,Measure,45.92,2020-07-19 20:34:24
2020-07-21 15:52:18,Alert,31.8,2020-07-21 15:58:30
2020-07-22 03:41:48,Idle,28.31,2020-07-22 03:48:50
2020-07-23 01:45:57,Run,95.91,2020-07-23 01:53:16
2020-07-23 16:53:46,Start,92.67,2020-07-23 17:02:35
2020-07-26 12:18:18,Idle,14.23,2020-07-26 12:21:13
2020-07-27 11:29:58,Stop,40.49,2020-07-27 11:31:39
2020-07-30 01:25:32,Measure,46.46,2020-07-30 01:32:50
2020-07-30 19:50:47,Stop,31.51,2020-07-30 19:55:12
2020-08-02 08:29:31,Measure,66.6,2020-08-02 08:38:16
2020-08-03 06:08:44,Run,67.63,2020-08-03 06:14:23
2020-08-04 12:34:16,Idle,86.55,2020-08-04 12:37:13
2020-08-04 16:45:53,Run,76.68,2020-08-04 16:50:49
2020-08-06 09:10:29,Alert,58.83,2020-08-06 09:16:37
2020-08-08 04:41:36,Run,68.82,2020-08-08 04:50:11
2020-08-09 04:34:23,Run,34.66,2020-08-09 04:43:17
2020-08-09 14:05:09,Alert,63.38,2020-08-09 14:07:48
2020-08-10 18:26:26,Measure,54.03,2020-08-10 18:31:46
2020-08-12 06:08:11,Alert,22.0,2020-08-12 06:14:15
2020-08-13 08:35:11,Idle,31.83,2020-08-13 08:42:04
2020-08-14 07:33:10,Run,36.25,2020-08-14 07:38:55
2020-08-14 19:26:38,Alert,93.19,2020-08-14 19:33:05
2020-08-17 00:24:04,Run,30.73,2020-08-17 00:26:46
2020-08-17 00:28:23,Idle,36.03,2020-08-17 00:30:25
2020-08-17 12:00:38,Stop,43.24,2020-08-17 12:06:19
2020-08-17 14:42:38,Idle,69.74,2020-08-17 14:50:58
2020-08-20 15:40:40,Start,20.64,2020-08-20 15:46:32
2020-08-23 08:05:28,Start,95.86,2020-08-23 08:06:34
2020-08-24 04:46:56,Start,87.9,2020-08-24 04:49:27
2020-08-24 05:41:02,Run,61.95,2020-08-24 05:45:11
2020-08-26 20:57:56,Measure,70.66,2020-08-26 21:06:51
2020-08-27 02:25:59,Measure,11.5,2020-08-27 02:35:29
2020-08-27 15:16:08,Measure,40.51,2020-08-27 15:24:49
2020-08-28 19:23:40,Run,81.61,2020-08-28 19:25:32
2020-08-28 20:26:27,Idle,16.97,2020-08-28 20:35:32
2020-08-29 07:24:43,Measure,35.41,2020-08-29 07:33:52
2020-08-29 22:00:06,Stop,62.68,2020-08-29 22:07:09
2020-08-31 02:48:23,Start,33.08,2020-08-31 02:51:14
2020-08-31 23:17:24,Idle,94.06,2020-08-31 23:25:12
2020-09-02 14:13:07,Start,21.8,2020-09-02 14:14:13
2020-09-02 22:35:05,Measure,81.77,2020-09-02 22:39:21
2020-09-04 00:01:09,Idle,55.72,2020-09-04 00:08:15
2020-09-04 12:16:21,Alert,77.53,2020-09-04 12:21:30
2020-09-04 21:58:17,Stop,37.96,2020-09-04 22:03:16
2020-09-06 20:54:47,Measure,56.3,2020-09-06 21:02:06
2020-09-08 00:31:33,Measure,87.12,2020-09-08 00:40:23
2020-09-08 01:22:46,Stop,52.02,2020-09-08 01:31:20
2020-09-08 05:37:22,Stop,42.37,2020-09-08 05:44:27
2020-09-08 06:21:04,Alert,58.25,2020-09-08 06:26:53
2020-09-09 23:38:28,Measure,74.56,2020-09-09 23:46:10
2020-09-10 04:19:55,Run,49.92,2020-09-10 04:21:52
2020-09-11 09:14:58,Measure,94.5,2020-09-11 09:24:38
2020-09-11 17:51:07,Start,36.55,2020-09-11 17:57:10
2020-09-12 04:38:49,Idle,52.79,2020-09-12 04:41:43
2020-09-13 11:08:35,Idle,78.12,2020-09-13 11:13:04
2020-09-15 05:30:47,Start,72.02,2020-09-15 05:32:27
2020-09-17 02:40:06,Idle,87.73,2020-09-17 02:43:58
2020-09-20 08:55:22,Stop,99.71,2020-09-20 09:00:15
2020-09-22 06:32:10,Idle,48.42,2020-09-22 06:39:52
2020-09-25 16:19:13,Idle,20.0,2020-09-25 16:20:51
2020-09-26 03:30:22,Start,12.74,2020-09-26 03:33:20
2020-09-28 20:23:41,Alert,75.42,2020-09-28 20:30:15
2020-09-29 03:05:30,Idle,88.66,2020-09-29 03:12:05
2020-09-29 12:56:09,Run,29.86,2020-09-29 13:06:07
2020-09-29 12:56:17,Idle,24.26,2020-09-29 12:58:30
2020-09-30 11:15:45,Alert,15.6,2020-09-30 11:19:55
2020-09-30 15:09:23,Start,84.04,2020-09-30 15:15:46
2020-10-01 18:50:19,Alert,38.02,2020-10-01 18:53:45
2020-10-02 01:58:11,Start,46.15,2020-10-02 02:03:54
2020-10-02 20:53:57,Stop,55.25,2020-10-02 20:58:29
2020-10-03 11:36:09,Start,85.55,2020-10-03 11:43:42
2020-10-03 19:33:16,Stop,68.57,2020-10-03 19:39:54
2020-10-04 14:40:03,Stop,65.36,2020-10-04 14:41:24
2020-10-08 12:58:17,Start,25.81,2020-10-08 13:01:01
2020-10-09 00:09:49,Run,56.19,2020-10-09 00:18:34
2020-10-09 02:19:35,Measure,74.38,2020-10-09 02:28:13
2020-10-10 04:04:35,Start,97.59,2020-10-10 04:12:46
2020-10-12 19:18:59,Idle,28.13,2020-10-12 19:23:39
2020-10-13 10:23:00,Run,10.86,2020-10-13 10:30:18
2020-10-14 12:50:35,Run,16.78,2020-10-14 12:55:16
2020-10-15 03:30:28,Idle,43.83,2020-10-15 03:35:45
2020-10-15 12:33:04,Measure,83.85,2020-10-15 12:40:10
2020-10-17 01:36:34,Run,10.64,2020-10-17 01:43:22
2020-10-17 17:16:16,Stop,51.11,2020-10-17 17:21:00
2020-10-19 04:12:20,Measure,39.63,2020-10-19 04:17:15
2020-10-19 07:37:21,Idle,14.72,2020-10-19 07:41:23
2020-10-21 09:22:19,Measure,50.52,2020-10-21 09:30:42
2020-10-21 20:44:19,Start,32.93,2020-10-21 20:45:24
2020-10-22 01:08:28,Measure,41.67,2020-10-22 01:13:23
2020-10-22 07:24:28,Stop,73.51,2020-10-22 07:27:34
2020-10-22 19:10:04,Start,56.94,2020-10-22 19:12:47
2020-10-23 12:24:06,Alert,21.22,2020-10-23 12:33:05
2020-10-23 22:57:19,Idle,96.53,2020-10-23 23:00:53
2020-10-24 19:52:14,Idle,67.23,2020-10-24 19:57:30
2020-10-26 17:44:42,Measure,78.93,2020-10-26 17:49:36
2020-10-29 01:48:20,Run,17.13,2020-10-29 01:57:39
2020-10-31 07:46:51,Start,14.24,2020-10-31 07:52:39
2020-11-04 16:01:25,Alert,11.75,2020-11-04 16:10:54
2020-11-06 04:53:09,Start,26.99,2020-11-06 04:59:06
2020-11-06 21:03:44,Idle,47.3,2020-11-06 21:07:00
2020-11-07 01:27:17,Start,94.22,2020-11-07 01:34:32
2020-11-08 13:51:39,Alert,51.14,2020-11-08 13:54:05
2020-11-09 10:49:18,Run,36.12,2020-11-09 10:57:16
2020-11-10 16:21:07,Measure,60.57,2020-11-10 16:25:25
2020-11-10 21:04:44,Stop,20.07,2020-11-10 21:13:26
2020-11-12 22:03:39,Start,64.86,2020-11-12 22:11:55
2020-11-13 02:29:30,Stop,61.16,2020-11-13 02:35:39
2020-11-14 08:03:45,Idle,81.28,2020-11-14 08:09:25
2020-11-14 16:24:01,Measure,98.8,2020-11-14 16:30:23
2020-11-15 13:14:29,Measure,32.58,2020-11-15 13:18:00
2020-11-15 15:15:24,Start,55.87,2020-11-15 15:21:25
2020-11-15 21:30:12,Run,91.8,2020-11-15 21:35:49
2020-11-18 21:30:30,Measure,80.67,2020-11-18 21:31:37
2020-11-20 16:19:53,Start,53.87,2020-11-20 16:24:47
2020-11-20 18:05:51,Start,95.08,2020-11-20 18:11:52
2020-11-21 03:42:07,Stop,15.15,2020-11-21 03:43:44
2020-11-21 10:00:38,Measure,93.79,2020-11-21 10:03:53
2020-11-23 03:47:22,Start,14.55,2020-11-23 03:55:22
2020-11-24 06:21:11,Stop,59.26,2020-11-24 06:25:49
2020-11-24 20:17:38,Alert,90.14,2020-11-24 20:24:25
2020-11-25 06:07:41,Stop,33.64,2020-11-25 06:09:59
2020-11-26 04:44:28,Stop,52.5,2020-11-26 04:50:00
2020-11-27 05:34:13,Start,39.19,2020-11-27 05:37:53
2020-11-28 02:45:04,Idle,95.69,2020-11-28 02:51:11
2020-11-28 19:51:01,Idle,84.13,2020-11-28 19:58:14
2020-11-30 04:53:06,Run,73.81,2020-11-30 04:54:14
2020-12-01 05:18:11,Idle,62.89,2020-12-01 05:26:34
2020-12-01 19:26:53,Stop,83.85,2020-12-01 19:29:45
2020-12-02 11:52:01,Run,45.3,2020-12-02 11:56:25
2020-12-05 05:58:39,Start,50.28,2020-12-05 06:06:23
2020-12-05 20:01:07,Measure,75.7,2020-12-05 20:05:23
2020-12-06 07:49:24,Stop,42.2,2020-12-06 07:52:18
2020-12-07 21:43:42,Stop,15.75,2020-12-07 21:46:42
2020-12-08 16:57:45,Run,16.69,2020-12-08 16:59:49
2020-12-10 02:53:00,Start,20.38,2020-12-10 02:58:35
2020-12-10 21:08:33,Alert,88.27,2020-12-10 21:13:31
2020-12-11 08:52:14,Stop,52.5,2020-12-11 08:58:15
2020-12-12 05:57:18,Alert,74.16,2020-12-12 06:04:49
2020-12-12 20:45:14,Alert,45.36,2020-12-12 20:54:55
2020-12-13 02:39:58,Idle,33.28,2020-12-13 02:47:06
2020-12-14 01:12:31,Start,41.25,2020-12-14 01:17:23
2020-12-15 09:02:00,Alert,81.48,2020-12-15 09:06:14
2020-12-16 08:43:37,Start,66.27,2020-12-16 08:44:48
2020-12-17 09:46:20,Idle,94.39,2020-12-17 09:50:16
2020-12-18 01:39:32,Start,71.17,2020-12-18 01:44:08
2020-12-18 06:41:46,Stop,61.32,2020-12-18 06:42:56
2020-12-21 12:44:07,Alert,64.92,2020-12-21 12:52:32
2020-12-21 14:47:11,Start,94.81,2020-12-21 14:50:54
2020-12-22 00:36:33,Measure,80.94,2020-12-22 00:38:25
2020-12-22 05:03:18,Start,12.16,2020-12-22 05:07:55
2020-12-25 19:27:20,Alert,58.07,2020-12-25 19:34:19
2020-12-26 12:16:21,Idle,71.95,2020-12-26 12:23:45
2020-12-27 13:44:20,Idle,77.38,2020-12-27 13:46:15
2020-12-28 00:36:05,Alert,29.18,2020-12-28 00:39:02
2020-12-28 00:55:52,Stop,88.05,2020-12-28 01:01:04
2020-12-28 01:11:35,Stop,96.03,2020-12-28 01:15:34
2020-12-30 07:55:35,Idle,31.3,2020-12-30 08:03:29
2021-01-02 16:04:18,Idle,89.44,2021-01-02 16:09:12
2021-01-02 21:24:55,Alert,18.73,2021-01-02 21:27:14
2021-01-03 02:02:40,Stop,15.01,2021-01-03 02:04:01
2021-01-06 01:25:31,Idle,21.63,2021-01-06 01:34:27
2021-01-06 07:19:42,Stop,15.2,2021-01-06 07:28:01
2021-01-08 06:34:07,Idle,86.05,2021-01-08 06:36:39
2021-01-08 22:36:44,Start,15.31,2021-01-08 22:40:55
2021-01-09 01:58:28,Measure,34.45,2021-01-09 02:01:10
2021-01-09 04:26:38,Run,19.34,2021-01-09 04:34:13
2021-01-11 04:22:50,Start,36.59,2021-01-11 04:23:56
2021-01-11 12:42:06,Run,18.15,2021-01-11 12:46:56
2021-01-13 04:51:59,Idle,70.12,2021-01-13 04:56:58
2021-01-17 15:04:30,Measure,22.0,2021-01-17 15:06:59
2021-01-18 07:54:28,Measure,86.67,2021-01-18 07:59:19
2021-01-21 07:54:15,Idle,83.55,2021-01-21 08:02:51
2021-01-24 22:37:57,Idle,11.23,2021-01-24 22:42:49
2021-01-29 01:03:51,Stop,90.62,2021-01-29 01:10:44
2021-01-29 07:26:25,Idle,12.6,2021-01-29 07:32:57
2021-02-01 05:51:14,Alert,31.57,2021-02-01 05:59:32
2021-02-02 15:32:10,Idle,12.92,2021-02-02 15:39:24
2021-02-03 21:18:45,Alert,40.23,2021-02-03 21:24:36
2021-02-04 09:59:58,Idle,56.25,2021-02-04 10:06:42
2021-02-04 12:03:18,Stop,81.7,2021-02-04 12:11:25
2021-02-04 14:53:17,Alert,40.42,2021-02-04 14:56:26
2021-02-06 02:21:09,Start,73.49,2021-02-06 02:24:29
2021-02-06 02:24:10,Alert,26.88,2021-02-06 02:32:04
2021-02-07 21:05:15,Stop,77.55,2021-02-07 21:07:47
2021-02-08 17:35:06,Run,31.24,2021-02-08 17:40:49
2021-02-09 09:55:32,Alert,22.92,2021-02-09 10:00:14
2021-02-11 02:28:34,Idle,26.69,2021-02-11 02:37:16
2021-02-11 10:24:16,Idle,26.39,2021-02-11 10:29:51
2021-02-12 02:49:22,Run,56.16,2021-02-12 02:52:41
2021-02-13 17:26:36,Stop,86.03,2021-02-13 17:33:32
2021-02-15 06:47:19,Measure,17.16,2021-02-15 06:48:41
2021-02-15 16:25:06,Idle,73.63,2021-02-15 16:30:35
2021-02-20 10:38:29,Start,68.89,2021-02-20 10:45:01
2021-02-22 03:35:29,Stop,88.53,2021-02-22 03:37:53
2021-02-22 18:59:29,Alert,31.97,2021-02-22 19:00:59
2021-02-25 14:14:51,Alert,50.51,2021-02-25 14:19:50
2021-02-28 00:36:34,Start,93.32,2021-02-28 00:43:36
2021-03-02 07:09:38,Idle,69.4,2021-03-02 07:17:06
2021-03-03 02:09:37,Stop,44.99,2021-03-03 02:15:35
2021-03-03 12:40:05,Start,21.83,2021-03-03 12:47:15
2021-03-05 05:41:46,Idle,33.62,2021-03-05 05:44:24
2021-03-06 19:10:01,Stop,62.31,2021-03-06 19:11:47
2021-03-08 10:50:27,Alert,74.64,2021-03-08 10:58:28
2021-03-08 23:57:12,Stop,21.2,2021-03-09 00:06:11
2021-03-09 01:20:39,Run,63.96,2021-03-09 01:22:40
2021-03-09 06:26:00,Measure,59.53,2021-03-09 06:28:48
2021-03-09 11:09:29,Stop,56.26,2021-03-09 11:12:27
2021-03-10 18:02:58,Measure,72.11,2021-03-10 18:10:19
2021-03-11 11:38:47,Stop,85.37,2021-03-11 11:46:18
