start_datetime,end_datetime,event,value
2024-04-05 04:30:00,2024-04-05 04:33:25,Run,63.42
2024-04-03 02:47:00,2024-04-03 02:50:07,Start,71.12
2024-04-02 19:28:00,2024-04-02 19:29:41,Start,81.03
2024-04-03 21:12:00,2024-04-03 21:18:55,Run,54.86
2024-04-05 12:06:00,2024-04-05 12:07:40,Alert,17.82
2024-04-03 03:55:00,2024-04-03 03:56:33,Start,58.34
2024-04-04 14:00:00,2024-04-04 14:01:16,Run,62.82
2024-04-04 19:44:00,2024-04-04 19:47:32,Idle,77.09
2024-04-03 04:46:00,2024-04-03 04:53:17,Measure,48.85
2024-04-04 18:09:00,2024-04-04 18:15:41,Measure,21.48
2024-04-03 16:00:00,2024-04-03 16:01:26,Start,35.54
2024-04-04 11:08:00,2024-04-04 11:13:46,Alert,42.68
2024-04-04 14:18:00,2024-04-04 14:21:47,Alert,68.13
2024-04-04 06:38:00,2024-04-04 06:43:27,Idle,61.37
2024-04-02 16:48:00,2024-04-02 16:56:34,Start,42.05
2024-04-05 08:15:00,2024-04-05 08:22:40,Measure,98.79
2024-04-03 12:34:00,2024-04-03 12:42:55,Alert,64.52
2024-04-03 01:45:00,2024-04-03 01:48:09,Start,31.35
2024-04-02 14:48:00,2024-04-02 14:55:02,Alert,19.16
2024-04-04 12:03:00,2024-04-04 12:08:51,Run,23.76
2024-04-04 21:00:00,2024-04-04 21:07:10,Alert,32.14
2024-04-02 12:30:00,2024-04-02 12:31:28,Measure,24.46
2024-04-04 07:40:00,2024-04-04 07:43:28,Stop,26.79
2024-04-03 06:08:00,2024-04-03 06:13:55,Idle,35.66
2024-04-04 20:06:00,2024-04-04 20:07:10,Idle,25.6
2024-04-03 03:45:00,2024-04-03 03:54:31,Measure,90.71
2024-04-05 00:00:00,2024-04-05 00:02:52,Alert,17.22
2024-04-03 21:57:00,2024-04-03 22:01:06,Start,57.21
2024-04-06 00:44:00,2024-04-06 00:48:46,Alert,46.94
2024-04-03 01:46:00,2024-04-03 01:52:09,Measure,98.41
2024-04-03 20:00:00,2024-04-03 20:02:37,Idle,20.08
2024-04-02 23:13:00,2024-04-02 23:14:54,Alert,45.81
2024-04-06 00:14:00,2024-04-06 00:21:45,Idle,97.25
2024-04-05 21:48:00,2024-04-05 21:50:08,Start,87.9
2024-04-03 12:08:00,2024-04-03 12:14:11,Idle,83.54
2024-04-05 01:25:00,2024-04-05 01:30:48,Idle,33.21
2024-04-05 17:24:00,2024-04-05 17:27:27,Stop,25.38
2024-04-04 17:02:00,2024-04-04 17:10:46,Stop,70.18
2024-04-04 14:20:00,2024-04-04 14:25:03,Run,93.64
2024-04-03 13:33:00,2024-04-03 13:42:10,Stop,60.11
2024-04-02 22:00:00,2024-04-02 22:09:26,Idle,61.45
2024-04-06 02:36:00,2024-04-06 02:43:04,Measure,35.2
2024-04-06 06:24:00,2024-04-06 06:33:01,Idle,79.25
2024-04-05 02:04:00,2024-04-05 02:08:20,Measure,26.83
2024-04-04 00:40:00,2024-04-04 00:43:33,Measure,39.13
2024-04-04 01:00:00,2024-04-04 01:08:29,Stop,48.29
2024-04-05 13:16:00,2024-04-05 13:25:20,Alert,55.68
2024-04-06 06:12:00,2024-04-06 06:14:12,Start,31.82
2024-04-06 06:48:00,2024-04-06 06:53:55,Stop,20.34
2024-04-05 21:27:00,2024-04-05 21:28:16,Stop,64.96
2024-04-05 08:40:00,2024-04-05 08:44:36,Alert,35.98
2024-04-03 00:12:00,2024-04-03 00:14:00,Start,62.31
2024-04-03 07:08:00,2024-04-03 07:09:41,Idle,23.89
2024-04-06 09:48:00,2024-04-06 09:49:24,Run,53.3
2024-04-05 07:12:00,2024-04-05 07:13:38,Run,57.93
2024-04-02 18:10:00,2024-04-02 18:13:10,Idle,14.66
2024-04-03 04:38:00,2024-04-03 04:47:17,Stop,40.29
2024-04-05 12:03:00,2024-04-05 12:07:48,Start,22.1
2024-04-02 18:40:00,2024-04-02 18:42:47,Stop,15.7
2024-04-03 08:46:00,2024-04-03 08:49:51,Measure,99.1
2024-04-05 03:00:00,2024-04-05 03:08:14,Stop,39.01
2024-04-05 17:30:00,2024-04-05 17:38:57,Stop,82.89
2024-04-05 14:28:00,2024-04-05 14:30:41,Idle,32.92
2024-04-03 16:48:00,2024-04-03 16:57:43,Idle,71.34
2024-04-05 22:34:00,2024-04-05 22:39:34,Idle,78.42
2024-04-03 20:55:00,2024-04-03 20:56:43,Run,63.61
2024-04-04 04:24:00,2024-04-04 04:25:16,Measure,52.44
2024-04-06 03:44:00,2024-04-06 03:50:29,Idle,47.07
2024-04-05 17:22:00,2024-04-05 17:31:16,Start,41.4
2024-04-06 15:45:00,2024-04-06 15:46:11,Run,93.66
2024-04-05 18:20:00,2024-04-05 18:26:17,Alert,84.76
2024-04-05 11:27:00,2024-04-05 11:31:35,Start,96.85
2024-04-03 04:24:00,2024-04-03 04:30:38,Start,21.19
2024-04-04 14:03:00,2024-04-04 14:05:20,Idle,75.78
2024-04-03 23:28:00,2024-04-03 23:37:04,Alert,94.45
2024-04-03 23:45:00,2024-04-03 23:52:13,Alert,26.31
2024-04-07 10:54:00,2024-04-07 10:58:19,Run,15.98
2024-04-04 15:27:00,2024-04-04 15:36:56,Alert,76.7
2024-04-07 00:48:00,2024-04-07 00:56:45,Measure,61.7
2024-04-05 18:52:00,2024-04-05 18:54:28,Idle,85.76
2024-04-06 14:30:00,2024-04-06 14:35:27,Alert,22.58
2024-04-05 08:15:00,2024-04-05 08:24:08,Run,81.57
2024-04-05 16:24:00,2024-04-05 16:33:57,Measure,28.15
2024-04-05 05:12:00,2024-04-05 05:13:46,Stop,24.73
2024-04-03 18:30:00,2024-04-03 18:35:47,Stop,24.78
2024-04-06 09:25:00,2024-04-06 09:26:15,Measure,83.31
2024-04-04 06:48:00,2024-04-04 06:55:40,Run,69.87
2024-04-02 23:30:00,2024-04-02 23:32:25,Measure,57.08
2024-04-06 03:02:00,2024-04-06 03:07:09,Idle,42.29
2024-04-03 19:45:00,2024-04-03 19:52:30,Idle,88.95
2024-04-07 16:00:00,2024-04-07 16:06:34,Stop,45.32
2024-04-07 16:38:00,2024-04-07 16:47:38,Alert,83.49
2024-04-07 13:14:00,2024-04-07 13:17:16,Run,49.52
2024-04-04 21:03:00,2024-04-04 21:12:17,Stop,43.92
2024-04-03 00:40:00,2024-04-03 00:48:56,Alert,51.64
2024-04-07 15:05:00,2024-04-07 15:09:42,Alert,37.12
2024-04-05 02:12:00,2024-04-05 02:19:11,Idle,77.28
2024-04-07 20:26:00,2024-04-07 20:33:41,Start,55.24
2024-04-07 21:04:00,2024-04-07 21:12:22,Start,30.9
2024-04-07 09:15:00,2024-04-07 09:24:09,Measure,90.96
2024-04-04 11:00:00,2024-04-04 11:05:32,Idle,44.55
2024-04-04 23:51:00,2024-04-05 00:00:45,Alert,58.92
2024-04-07 11:00:00,2024-04-07 11:03:38,Run,91.58
2024-04-04 16:07:00,2024-04-04 16:10:31,Start,66.18
2024-04-03 23:30:00,2024-04-03 23:34:07,Alert,20.52
2024-04-05 22:30:00,2024-04-05 22:32:37,Start,94.58
2024-04-08 02:08:00,2024-04-08 02:11:10,Start,66.49
2024-04-06 16:30:00,2024-04-06 16:33:50,Start,40.14
2024-04-06 04:06:00,2024-04-06 04:10:02,Run,22.53
2024-04-03 11:48:00,2024-04-03 11:55:03,Idle,81.46
2024-04-06 09:20:00,2024-04-06 09:21:38,Run,65.81
2024-04-08 09:39:00,2024-04-08 09:48:46,Stop,58.01
2024-04-03 21:08:00,2024-04-03 21:17:16,Alert,90.45
2024-04-05 21:35:00,2024-04-05 21:44:35,Idle,80.97
2024-04-07 22:24:00,2024-04-07 22:30:48,Idle,23.65
2024-04-07 05:20:00,2024-04-07 05:27:36,Idle,38.05
2024-04-06 21:00:00,2024-04-06 21:03:40,Idle,32.36
2024-04-07 01:57:00,2024-04-07 01:58:15,Run,76.96
2024-04-05 01:20:00,2024-04-05 01:29:12,Idle,13.02
2024-04-04 16:42:00,2024-04-04 16:50:05,Measure,61.29
2024-04-07 17:00:00,2024-04-07 17:02:47,Alert,78.62
2024-04-07 17:34:00,2024-04-07 17:42:29,Idle,88.91
2024-04-08 03:12:00,2024-04-08 03:18:10,Alert,40.79
2024-04-08 08:21:00,2024-04-08 08:24:49,Measure,83.91
2024-04-06 02:10:00,2024-04-06 02:17:53,Measure,19.96
2024-04-06 02:35:00,2024-04-06 02:40:10,Alert,86.18
2024-04-07 15:48:00,2024-04-07 15:51:20,Start,21.47
2024-04-06 21:53:00,2024-04-06 21:58:33,Stop,45.76
2024-04-07 07:38:00,2024-04-07 07:45:55,Start,81.76
2024-04-07 17:27:00,2024-04-07 17:28:38,Start,23.49
2024-04-08 08:00:00,2024-04-08 08:01:28,Run,30.63
2024-04-05 05:40:00,2024-04-05 05:48:56,Start,75.0
2024-04-05 10:42:00,2024-04-05 10:48:17,Idle,74.8
2024-04-03 16:36:00,2024-04-03 16:41:04,Run,67.7
2024-04-06 15:48:00,2024-04-06 15:53:31,Run,72.46
2024-04-03 12:15:00,2024-04-03 12:23:19,Measure,58.85
2024-04-05 21:38:00,2024-04-05 21:42:58,Start,32.66
2024-04-06 12:22:00,2024-04-06 12:29:16,Measure,41.11
2024-04-04 22:24:00,2024-04-04 22:29:25,Alert,26.34
2024-04-06 18:03:00,2024-04-06 18:09:58,Stop,91.76
2024-04-03 08:20:00,2024-04-03 08:26:39,Run,62.51
2024-04-03 13:21:00,2024-04-03 13:28:28,Alert,46.08
2024-04-08 05:28:00,2024-04-08 05:29:02,Alert,51.58
2024-04-05 09:40:00,2024-04-05 09:48:08,Idle,95.26
2024-04-03 23:42:00,2024-04-03 23:45:21,Stop,23.8
2024-04-06 10:55:00,2024-04-06 11:02:15,Alert,62.76
2024-04-08 02:48:00,2024-04-08 02:54:23,Alert,55.53
2024-04-04 15:12:00,2024-04-04 15:15:25,Stop,65.03
2024-04-07 03:04:00,2024-04-07 03:09:52,Stop,11.63
2024-04-03 19:48:00,2024-04-03 19:56:11,Alert,88.49
