Year,Season,Region,Electricity,Gas
2022,Summer,부산,594,109
2022,Summer,부산,906,369
2022,Summer,부산,791,460
2022,Summer,광주,456,232
2022,Summer,광주,475,612
2022,Summer,광주,512,675
2022,Summer,광주,483,220
2022,Summer,광주,306,303
2022,Summer,대전,364,404
2022,Summer,대전,696,655
2022,Summer,대전,355,466
2022,Summer,대전,918,350
2022,Summer,대전,533,610
2022,Fall,서울,492,119
2022,Fall,서울,481,100
2022,Fall,서울,318,134
2022,Fall,서울,397,584
2022,Fall,서울,956,158
2022,Fall,부산,360,305
2022,Fall,부산,211,589
2022,Fall,부산,475,341
2022,Fall,부산,415,350
2022,Fall,부산,325,316
2022,Fall,광주,505,284
2022,Fall,광주,238,322
2022,Fall,광주,383,594
2022,Fall,광주,626,277
2022,Fall,광주,627,393
2022,Fall,대전,350,483
2022,Fall,대전,837,407
2022,Fall,대전,535,474
2022,Fall,대전,207,440
2022,Fall,대전,328,451
2022,Winter,서울,557,616
2022,Winter,서울,694,185
2022,Winter,서울,374,292
2022,Winter,서울,510,218
2022,Winter,서울,417,526
2022,Winter,부산,613,213
2022,Winter,부산,344,637
2022,Winter,부산,847,402
2022,Winter,부산,943,687
2022,Winter,부산,544,100
2022,Winter,광주,346,386
2022,Winter,광주,853,152
2022,Winter,광주,503,168
2022,Winter,광주,560,319
2022,Winter,광주,903,674
2022,Winter,대전,784,260
2022,Winter,대전,880,188
2022,Winter,대전,887,684
2022,Winter,대전,956,688
2022,Winter,대전,358,588
2023,Spring,서울,523,480
2023,Spring,서울,301,593
2023,Spring,서울,843,118
2023,Spring,서울,653,581
2023,Spring,서울,793,496
2023,Spring,부산,478,464
2023,Spring,부산,530,443
2023,Spring,부산,654,164
2023,Spring,부산,275,242
2023,Spring,부산,804,572
2023,Spring,광주,616,404
2023,Spring,광주,935,596
2023,Spring,광주,490,201
2023,Spring,광주,466,102
2023,Spring,광주,284,427
2023,Spring,대전,649,553
2023,Spring,대전,828,320
2023,Spring,대전,353,111
2023,Spring,대전,332,403
2023,Spring,대전,492,399
2023,Summer,서울,939,142
2023,Summer,서울,542,425
2023,Summer,서울,697,463
2023,Summer,서울,626,120
2023,Summer,서울,606,435
2023,Summer,부산,316,223
2023,Summer,부산,598,150
2023,Summer,부산,982,423
2023,Summer,부산,988,240
2023,Summer,부산,669,433
2023,Summer,광주,572,663
2023,Summer,광주,693,638
2023,Summer,광주,868,255
2023,Summer,광주,490,243
2023,Summer,광주,305,519
2023,Summer,대전,869,101
2023,Summer,대전,788,189
2023,Summer,대전,544,449
2023,Summer,대전,658,362
2023,Summer,대전,550,207
2023,Fall,서울,785,138
2023,Fall,서울,358,682
2023,Fall,서울,511,340
2023,Fall,서울,644,397
2023,Fall,서울,235,183
2023,Fall,부산,651,484
2023,Fall,부산,371,475
2023,Fall,부산,884,461
2023,Fall,부산,758,240
2023,Fall,부산,317,376
2023,Fall,광주,925,319
2023,Fall,광주,225,620
2023,Fall,광주,982,109
2023,Fall,광주,577,683
2023,Fall,광주,351,148
2023,Fall,대전,353,392
2023,Fall,대전,779,149
2023,Fall,대전,863,630
2023,Fall,대전,811,159
2023,Fall,대전,366,301
2023,Winter,서울,345,538
2023,Winter,서울,441,680
2023,Winter,서울,886,660
2023,Winter,서울,682,207
2023,Winter,서울,425,531
2023,Winter,부산,854,518
2023,Winter,부산,654,259
2023,Winter,부산,722,689
2023,Winter,부산,276,608
2023,Winter,부산,640,353
2023,Winter,광주,969,419
2023,Winter,광주,462,696
2023,Winter,광주,857,653
2023,Winter,광주,573,266
2023,Winter,광주,952,558
2023,Winter,대전,479,401
2023,Winter,대전,730,679
2023,Winter,대전,417,201
2023,Winter,대전,753,387
2023,Winter,대전,366,135
